attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1945,0.001,0.3881,0.0,0.0896,0.001,0.1658,0.001,0.1619,0.001
sexMale,1.0,0.0,0.1403,0.001,0.384,0.001,0.0694,0.002,0.2215,0.001,0.1848,0.001
sexFemale,1.0,0.0,0.2521,0.001,0.3925,0.001,0.111,0.001,0.1067,0.001,0.1377,0.001
age25_44,1.0,0.0,0.1066,0.002,0.3743,0.001,0.0997,0.002,0.1991,0.001,0.2202,0.001
age45_64,1.0,0.0,0.1786,0.001,0.4135,0.001,0.0865,0.002,0.1643,0.001,0.1571,0.001
age65+,1.0,0.001,0.3662,0.001,0.3629,0.001,0.0792,0.002,0.1147,0.002,0.077,0.002
citizenSwiss,1.0,0.0,0.17,0.001,0.4308,0.0,0.0843,0.001,0.1853,0.001,0.1296,0.001
citizenUE28_AELE,1.0,0.001,0.1758,0.002,0.227,0.002,0.1217,0.003,0.1106,0.003,0.3649,0.002
citizenOtherEuropeanCountries,1.0,0.002,0.5086,0.002,0.2509,0.003,0.0914,0.006,0.062,0.007,0.0873,0.006
citizenOtherWorldwideCountries,1.0,0.002,0.4711,0.003,0.1487,0.006,0.0856,0.007,NaN,NaN,0.2575,0.004
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1748,0.001,0.4397,0.0,0.0791,0.001,0.1907,0.001,0.1156,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.1341,0.003,0.3526,0.002,0.1294,0.003,0.1356,0.003,0.2483,0.002
migratoryBackgroundFirstGeneration,1.0,0.001,0.3085,0.001,0.1956,0.002,0.1116,0.002,0.08,0.003,0.3043,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.003,NaN,NaN,0.5546,0.004,NaN,NaN,0.223,0.006,NaN,NaN
migratoryBackgroundUnknown,1.0,0.005,NaN,NaN,0.5683,0.007,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.1252,0.001,0.3987,0.001,0.089,0.001,0.1987,0.001,0.1883,0.001
labourMarketUnemployedPersons,1.0,0.002,0.159,0.006,0.3358,0.004,0.1354,0.006,0.1228,0.006,0.2467,0.004
labourMarketPersonsWithoutProfessionalActivity,1.0,0.001,0.3513,0.001,0.3687,0.001,0.0873,0.002,0.0959,0.002,0.0967,0.002
socioprofessionalCategoriesExecutives,1.0,0.002,0.037,0.009,0.2003,0.004,0.0506,0.007,0.3224,0.003,0.3894,0.003
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.003
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.1159,0.004,0.4937,0.002,0.0948,0.004,0.2782,0.002,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,NaN,NaN,0.0501,0.005,NaN,NaN,0.0881,0.004,0.8488,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0433,0.004,0.2479,0.002,0.0935,0.003,0.5236,0.001,0.0918,0.003
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,NaN,NaN,0.8126,0.001,0.181,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,NaN,NaN,0.886,0.001,0.097,0.005,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.007,NaN,NaN,0.7324,0.008,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.002,0.3457,0.003,0.3588,0.003,0.0938,0.006,0.0953,0.005,0.1067,0.005
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3375,0.001,0.3664,0.001,0.0908,0.002,0.0979,0.002,0.1075,0.002
