attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,113442.0,0.013,22001.0,0.071,45045.0,0.043,9301.0,0.114,18152.0,0.077,18942.0,0.077
sexMale,0.5142,0.035,0.3904,0.12,0.4884,0.069,0.4593,0.175,0.6399,0.099,0.6259,0.101
sexFemale,0.4858,0.037,0.6096,0.093,0.5115,0.067,0.5407,0.156,0.3601,0.135,0.3742,0.133
age25_44,0.3625,0.047,0.1847,0.186,0.3412,0.086,0.4119,0.185,0.4332,0.124,0.5278,0.112
age45_64,0.4183,0.041,0.4115,0.115,0.4385,0.073,0.4118,0.179,0.4332,0.121,0.3674,0.132
age65+,0.2191,0.064,0.4038,0.116,0.2203,0.108,0.1763,0.278,0.1336,0.226,0.1048,0.252
citizenSwiss,0.7945,0.02,0.7076,0.084,0.8793,0.046,0.7422,0.13,0.8788,0.082,0.6387,0.096
citizenUE28_AELE,0.1412,0.089,0.1209,0.229,0.085,0.19,0.2043,0.277,0.1022,0.278,0.3048,0.155
citizenOtherEuropeanCountries,0.0444,0.172,0.1209,0.238,0.0271,0.354,0.0384,0.65,0.019,0.646,0.024,0.594
citizenOtherWorldwideCountries,0.0199,0.26,0.0505,0.369,0.0085,0.617,NaN,NaN,NaN,NaN,0.0325,0.505
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.7007,0.024,0.631,0.089,0.7927,0.05,0.6192,0.143,0.7903,0.087,0.5172,0.109
migratoryBackgroundSwissWith,0.091,0.104,0.0738,0.272,0.0844,0.177,0.1162,0.335,0.085,0.28,0.1199,0.229
migratoryBackgroundFirstGeneration,0.1929,0.076,0.2808,0.152,0.1041,0.174,0.242,0.257,0.1076,0.272,0.3594,0.143
migratoryBackgroundSecondGenerationAndMore,0.0126,0.309,0.0115,0.735,0.0166,0.433,NaN,NaN,0.0136,0.733,NaN,NaN
migratoryBackgroundUnknown,0.0028,0.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6719,0.027,0.4378,0.113,0.683,0.056,0.6272,0.146,0.8124,0.087,0.8048,0.088
labourMarketUnemployedPersons,0.022,0.231,0.0136,0.685,0.0245,0.348,0.0399,0.619,0.0184,0.612,0.0207,0.587
labourMarketPersonsWithoutProfessionalActivity,0.3061,0.052,0.5486,0.099,0.2925,0.092,0.3329,0.203,0.1692,0.201,0.1746,0.198
socioprofessionalCategoriesExecutives,0.043,0.156,0.0183,0.558,0.0198,0.371,0.0317,0.646,0.0594,0.331,0.1165,0.236
socioprofessionalCategoriesLiberalAndSimilar,0.0135,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0806,0.288
socioprofessionalCategoriesOtherSelfEmployed,0.0664,0.126,0.0436,0.366,0.0897,0.174,0.0609,0.468,0.0921,0.272,0.0155,0.686
socioprofessionalCategoriesIntellectualAndManagerial,0.085,0.112,NaN,NaN,0.0115,0.482,0.0187,0.865,0.0581,0.342,0.4133,0.126
socioprofessionalCategoriesIntermediate,0.1949,0.069,0.0328,0.411,0.1298,0.143,0.2335,0.239,0.584,0.104,0.1466,0.219
socioprofessionalCategoriesSkilledNonManuals,0.124,0.09,NaN,NaN,0.2699,0.097,0.1982,0.268,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0587,0.136,0.0164,0.615,0.1299,0.145,0.0481,0.538,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0494,0.15,0.2549,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0017,0.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0353,0.18,0.0629,0.31,0.0301,0.306,0.0363,0.654,0.017,0.645,0.0324,0.471
socioprofessionalCategoriesUnemployedOrNotWorking,0.3281,0.05,0.5622,0.098,0.317,0.089,0.3729,0.192,0.1876,0.19,0.1953,0.187
