attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,198423,0.007,37707,0.038,85620,0.021,17897,0.058,32266,0.041,24933,0.048
sexMale,99399,0.019,13389,0.069,43353,0.034,6867,0.099,21432,0.051,14358,0.066
sexFemale,99024,0.019,24318,0.048,42267,0.034,11030,0.073,10834,0.073,10574,0.075
age25_44,72824,0.026,9767,0.085,28964,0.045,8163,0.091,13095,0.069,12836,0.071
age45_64,80716,0.022,13807,0.065,36599,0.037,6520,0.095,14325,0.062,9465,0.078
age65+,44883,0.033,14134,0.064,20056,0.052,3214,0.135,4847,0.109,2632,0.150
citizenSwiss,148407,0.011,21746,0.050,71567,0.024,11814,0.069,26707,0.044,16573,0.058
citizenUE28_AELE,36429,0.041,8088,0.091,11449,0.076,4844,0.122,4705,0.122,7344,0.098
citizenOtherEuropeanCountries,10669,0.083,6374,0.108,2215,0.187,917,0.298,669,0.341,494,0.400
citizenOtherWorldwideCountries,2903,0.151,1500,0.211,388,0.410,323,0.453,171,0.606,521,0.360
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,123618,0.015,16268,0.058,61379,0.027,9146,0.079,23285,0.048,13541,0.065
migratoryBackgroundSwissWith,23898,0.047,5247,0.106,9709,0.077,2620,0.150,3342,0.132,2980,0.141
migratoryBackgroundFirstGeneration,44811,0.036,15201,0.067,11313,0.078,5477,0.116,4780,0.121,8040,0.093
migratoryBackgroundSecondGenerationAndMore,5112,0.118,704,0.325,2720,0.161,589,0.359,780,0.304,319,0.480
migratoryBackgroundUnknown,985,0.253,288,0.465,500,0.362,NaN,NaN,79,0.851,NaN,NaN
labourMarketEmployedPersons,131838,0.014,16490,0.061,57126,0.029,11976,0.072,26010,0.046,20236,0.054
labourMarketUnemployedPersons,5117,0.114,1131,0.248,2030,0.180,786,0.297,579,0.334,592,0.339
labourMarketPersonsWithoutProfessionalActivity,61468,0.027,20087,0.053,26464,0.045,5135,0.108,5678,0.101,4104,0.122
socioprofessionalCategoriesExecutives,4592,0.116,453,0.394,1219,0.225,199,0.616,1568,0.195,1152,0.229
socioprofessionalCategoriesLiberalAndSimilar,1917,0.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1917,0.177
socioprofessionalCategoriesOtherSelfEmployed,12318,0.068,1224,0.224,6243,0.097,1241,0.226,3212,0.135,398,0.398
socioprofessionalCategoriesIntellectualAndManagerial,15654,0.062,84,0.852,1157,0.230,276,0.479,1397,0.208,12741,0.069
socioprofessionalCategoriesIntermediate,38520,0.037,1519,0.209,11227,0.073,3332,0.137,19090,0.055,3352,0.143
socioprofessionalCategoriesSkilledNonManuals,28248,0.044,159,0.602,23665,0.048,4424,0.121,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,12230,0.072,410,0.410,10309,0.078,1510,0.219,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,10167,0.080,10167,0.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,183,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,8008,0.088,2419,0.167,3231,0.137,939,0.266,743,0.284,675,0.312
socioprofessionalCategoriesUnemployedOrNotWorking,66585,0.026,21218,0.052,28494,0.043,5921,0.101,6257,0.097,4697,0.114
