attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,206855,0.006,35060,0.040,78866,0.023,18731,0.056,44481,0.033,29716,0.043
sexMale,103667,0.019,13240,0.070,38930,0.037,7757,0.093,27058,0.045,16683,0.059
sexFemale,103188,0.018,21820,0.052,39936,0.035,10974,0.073,17424,0.056,13033,0.067
age25_44,75862,0.024,9105,0.087,28832,0.045,7783,0.092,15838,0.061,14305,0.065
age45_64,81665,0.023,12907,0.071,31425,0.042,6508,0.098,19392,0.054,11433,0.072
age65+,49328,0.031,13047,0.066,18609,0.054,4441,0.114,9252,0.078,3978,0.120
citizenSwiss,153122,0.012,19312,0.054,65173,0.026,11265,0.072,37923,0.037,19450,0.054
citizenUE28_AELE,39318,0.038,8290,0.088,10846,0.076,5926,0.106,5487,0.107,8768,0.084
citizenOtherEuropeanCountries,11136,0.082,5908,0.114,2488,0.179,1086,0.272,812,0.306,842,0.296
citizenOtherWorldwideCountries,3262,0.147,1532,0.216,359,0.440,455,0.403,259,0.535,656,0.323
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,125887,0.015,14004,0.064,55603,0.029,8594,0.082,32634,0.040,15052,0.062
migratoryBackgroundSwissWith,26083,0.046,4987,0.110,9060,0.081,2639,0.151,5057,0.108,4341,0.118
migratoryBackgroundFirstGeneration,48835,0.034,14803,0.068,11359,0.076,7081,0.098,5597,0.108,9995,0.079
migratoryBackgroundSecondGenerationAndMore,4792,0.121,907,0.282,2334,0.175,368,0.472,911,0.268,271,0.477
migratoryBackgroundUnknown,1258,0.223,360,0.417,510,0.348,NaN,NaN,282,0.476,NaN,NaN
labourMarketEmployedPersons,130488,0.015,14366,0.067,49731,0.032,11239,0.074,32016,0.041,23136,0.049
labourMarketUnemployedPersons,6330,0.104,1190,0.247,2761,0.156,884,0.288,825,0.282,670,0.329
labourMarketPersonsWithoutProfessionalActivity,70037,0.025,19505,0.055,26374,0.045,6609,0.096,11640,0.070,5910,0.101
socioprofessionalCategoriesExecutives,3718,0.127,217,0.551,601,0.323,335,0.439,887,0.259,1678,0.189
socioprofessionalCategoriesLiberalAndSimilar,2575,0.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2575,0.155
socioprofessionalCategoriesOtherSelfEmployed,14937,0.063,1443,0.215,6416,0.098,1132,0.237,5393,0.106,553,0.337
socioprofessionalCategoriesIntellectualAndManagerial,19192,0.054,111,0.780,1811,0.184,539,0.337,3228,0.137,13505,0.065
socioprofessionalCategoriesIntermediate,41166,0.036,1769,0.198,8166,0.087,4404,0.118,22183,0.050,4645,0.117
socioprofessionalCategoriesSkilledNonManuals,24399,0.048,711,0.302,21040,0.052,2648,0.156,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,13663,0.068,720,0.306,10946,0.076,1997,0.191,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8668,0.087,8668,0.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,207,0.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1962,0.184,689,0.320,682,0.306,123,0.797,325,0.438,143,0.676
socioprofessionalCategoriesUnemployedOrNotWorking,76367,0.024,20694,0.053,29135,0.043,7492,0.091,12466,0.068,6580,0.097
