attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1774,0.001,0.4326,0.0,0.0993,0.001,0.1598,0.001,0.131,0.001
sexMale,1.0,0.0,0.1259,0.001,0.4346,0.0,0.0834,0.001,0.214,0.001,0.1421,0.001
sexFemale,1.0,0.0,0.2292,0.001,0.4305,0.0,0.1152,0.001,0.1053,0.001,0.1198,0.001
age25_44,1.0,0.0,0.1188,0.001,0.4069,0.001,0.1116,0.001,0.1767,0.001,0.1859,0.001
age45_64,1.0,0.0,0.1584,0.001,0.4558,0.001,0.0884,0.001,0.177,0.001,0.1204,0.001
age65+,1.0,0.0,0.302,0.001,0.4332,0.001,0.0983,0.002,0.1037,0.002,0.0628,0.002
citizenSwiss,1.0,0.0,0.1437,0.001,0.4817,0.0,0.0826,0.001,0.1803,0.001,0.1117,0.001
citizenUE28_AELE,1.0,0.001,0.1728,0.001,0.3143,0.001,0.1687,0.001,0.1234,0.002,0.2206,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.5608,0.001,0.2479,0.002,0.0902,0.004,0.0303,0.006,0.0708,0.004
citizenOtherWorldwideCountries,1.0,0.002,0.4635,0.003,0.1517,0.006,0.0837,0.008,0.0815,0.008,0.2193,0.005
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1291,0.001,0.4989,0.0,0.0796,0.001,0.1855,0.001,0.107,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.2127,0.002,0.3936,0.001,0.0963,0.002,0.1583,0.002,0.1391,0.002
migratoryBackgroundFirstGeneration,1.0,0.0,0.2897,0.001,0.2636,0.001,0.1527,0.001,0.0985,0.002,0.1955,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.002,0.1043,0.005,0.5876,0.002,0.0928,0.006,0.1206,0.005,0.0949,0.006
migratoryBackgroundUnknown,1.0,0.003,0.2842,0.006,0.4937,0.005,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.104,0.001,0.4412,0.0,0.096,0.001,0.1963,0.001,0.1626,0.001
labourMarketUnemployedPersons,1.0,0.002,0.2894,0.003,0.3865,0.003,0.0931,0.006,0.0714,0.006,0.1597,0.004
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.3181,0.001,0.4186,0.001,0.1064,0.001,0.0923,0.001,0.0646,0.002
socioprofessionalCategoriesExecutives,1.0,0.001,0.0527,0.006,0.2466,0.003,0.0795,0.005,0.3036,0.002,0.3175,0.002
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.003
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.0955,0.003,0.5276,0.001,0.0606,0.004,0.2931,0.002,0.0233,0.007
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,NaN,NaN,0.0634,0.003,0.0101,0.009,0.0951,0.003,0.8288,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0515,0.003,0.2874,0.001,0.0916,0.002,0.4687,0.001,0.1008,0.002
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,NaN,NaN,0.842,0.001,0.1558,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0226,0.006,0.7999,0.001,0.1775,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.002,0.2871,0.003,0.3865,0.003,0.1128,0.005,0.108,0.005,0.1056,0.005
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3161,0.001,0.4163,0.001,0.1055,0.001,0.0909,0.001,0.0713,0.002
