attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,195401.0,0.007,37154.0,0.038,84300.0,0.021,17302.0,0.058,32202.0,0.041,24442.0,0.048
sexMale,0.5008,0.02,0.3718,0.068,0.4904,0.036,0.3984,0.098,0.6762,0.051,0.5744,0.066
sexFemale,0.4992,0.019,0.6282,0.049,0.5096,0.033,0.6016,0.075,0.3238,0.074,0.4256,0.076
age25_44,0.3676,0.026,0.2592,0.086,0.3489,0.044,0.4362,0.093,0.3972,0.069,0.5093,0.071
age45_64,0.4097,0.022,0.3571,0.067,0.4336,0.037,0.3577,0.098,0.4484,0.063,0.3928,0.079
age65+,0.2227,0.033,0.3836,0.062,0.2175,0.054,0.2061,0.126,0.1544,0.107,0.0979,0.155
citizenSwiss,0.7498,0.012,0.5956,0.049,0.836,0.024,0.6711,0.07,0.8452,0.044,0.617,0.062
citizenUE28_AELE,0.1832,0.04,0.2093,0.091,0.1271,0.077,0.2638,0.123,0.1356,0.122,0.3423,0.089
citizenOtherEuropeanCountries,0.0526,0.086,0.1521,0.117,0.0324,0.173,0.0512,0.298,0.0164,0.391,0.02,0.389
citizenOtherWorldwideCountries,0.0144,0.16,0.043,0.216,0.0045,0.44,0.0138,0.532,0.0028,0.855,0.0207,0.367
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6294,0.015,0.4539,0.057,0.724,0.027,0.5157,0.08,0.7443,0.048,0.4993,0.069
migratoryBackgroundSwissWith,0.1164,0.048,0.1385,0.106,0.106,0.08,0.1496,0.151,0.0993,0.136,0.1177,0.144
migratoryBackgroundFirstGeneration,0.2277,0.036,0.3842,0.069,0.1362,0.076,0.3102,0.114,0.1303,0.125,0.3753,0.085
migratoryBackgroundSecondGenerationAndMore,0.0221,0.128,0.0202,0.312,0.0272,0.176,0.0187,0.465,0.0238,0.308,0.0078,0.605
migratoryBackgroundUnknown,0.0043,0.266,0.0031,0.721,0.0065,0.326,0.0058,0.779,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6572,0.015,0.4164,0.064,0.6661,0.029,0.6441,0.075,0.8103,0.046,0.8001,0.055
labourMarketUnemployedPersons,0.0253,0.116,0.0346,0.235,0.0235,0.183,0.0213,0.429,0.0141,0.375,0.0353,0.284
labourMarketPersonsWithoutProfessionalActivity,0.3175,0.026,0.549,0.052,0.3104,0.044,0.3345,0.101,0.1756,0.101,0.1647,0.123
socioprofessionalCategoriesExecutives,0.0272,0.108,0.0092,0.44,0.0169,0.212,0.0171,0.48,0.0526,0.19,0.0638,0.199
socioprofessionalCategoriesLiberalAndSimilar,0.0092,0.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0733,0.189
socioprofessionalCategoriesOtherSelfEmployed,0.0653,0.068,0.0344,0.224,0.0805,0.094,0.0673,0.229,0.0993,0.138,0.0142,0.427
socioprofessionalCategoriesIntellectualAndManagerial,0.078,0.063,NaN,NaN,0.0124,0.244,0.0114,0.577,0.0522,0.191,0.5008,0.07
socioprofessionalCategoriesIntermediate,0.1926,0.038,0.0514,0.189,0.1242,0.077,0.1981,0.135,0.5829,0.055,0.1249,0.147
socioprofessionalCategoriesSkilledNonManuals,0.1357,0.045,0.0043,0.642,0.2691,0.05,0.2123,0.131,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0643,0.071,0.0065,0.509,0.1278,0.076,0.0892,0.217,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0465,0.085,0.2445,0.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0025,0.377,0.0066,0.557,0.0019,0.636,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0359,0.094,0.0574,0.175,0.0335,0.148,0.0466,0.289,0.022,0.294,0.0223,0.342
socioprofessionalCategoriesUnemployedOrNotWorking,0.3428,0.025,0.5836,0.051,0.3339,0.043,0.3559,0.098,0.1897,0.097,0.2,0.112
