attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,265028,0.005,53417,0.031,69293,0.026,54476,0.030,31725,0.041,56117,0.029
sexMale,127591,0.017,21076,0.052,34378,0.039,23582,0.049,18499,0.055,30057,0.042
sexFemale,137437,0.015,32341,0.041,34915,0.039,30895,0.042,13226,0.065,26060,0.046
age25_44,80594,0.024,8803,0.086,18495,0.057,16115,0.061,9545,0.079,27635,0.045
age45_64,106858,0.019,19962,0.054,29422,0.043,22731,0.049,14177,0.063,20565,0.051
age65+,77576,0.023,24652,0.047,21376,0.050,15629,0.059,8002,0.083,7917,0.083
citizenSwiss,189317,0.011,27022,0.045,60354,0.028,36259,0.038,27461,0.044,38221,0.037
citizenUE28_AELE,63442,0.028,20952,0.052,7677,0.089,16111,0.060,3574,0.129,15128,0.062
citizenOtherEuropeanCountries,6875,0.098,3146,0.148,789,0.303,1195,0.239,334,0.439,1411,0.211
citizenOtherWorldwideCountries,5374,0.108,2297,0.168,473,0.376,892,0.268,355,0.419,1357,0.210
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,129168,0.016,14869,0.062,45367,0.033,23667,0.048,19590,0.053,25675,0.046
migratoryBackgroundSwissWith,58737,0.028,11939,0.069,14453,0.063,12258,0.068,7607,0.087,12481,0.067
migratoryBackgroundFirstGeneration,69358,0.026,25240,0.048,6374,0.098,17277,0.058,3268,0.135,17200,0.058
migratoryBackgroundSecondGenerationAndMore,6091,0.102,1017,0.253,2489,0.160,924,0.265,981,0.255,680,0.306
migratoryBackgroundUnknown,1674,0.190,353,0.416,610,0.318,350,0.416,279,0.462,81,0.850
labourMarketEmployedPersons,142393,0.015,16186,0.060,36707,0.038,28467,0.044,19896,0.052,41138,0.035
labourMarketUnemployedPersons,10340,0.078,2616,0.158,2473,0.161,2227,0.169,886,0.267,2138,0.172
labourMarketPersonsWithoutProfessionalActivity,112294,0.018,34615,0.039,30114,0.042,23782,0.048,10943,0.072,12841,0.067
socioprofessionalCategoriesExecutives,5464,0.102,331,0.440,702,0.287,958,0.249,779,0.271,2695,0.144
socioprofessionalCategoriesLiberalAndSimilar,6926,0.091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6926,0.091
socioprofessionalCategoriesOtherSelfEmployed,17910,0.057,2374,0.161,5600,0.104,5180,0.108,3762,0.125,993,0.246
socioprofessionalCategoriesIntellectualAndManagerial,27775,0.044,281,0.462,1571,0.193,1833,0.179,1521,0.195,22568,0.049
socioprofessionalCategoriesIntermediate,35251,0.039,1503,0.202,5556,0.103,7143,0.090,13646,0.064,7403,0.089
socioprofessionalCategoriesSkilledNonManuals,28043,0.044,371,0.407,17567,0.056,10105,0.076,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8710,0.083,1050,0.242,4917,0.111,2743,0.151,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,9592,0.079,9592,0.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,333,0.471,NaN,NaN,100,0.856,NaN,NaN,NaN,NaN,126,0.807
socioprofessionalCategoriesNotAttributable,2388,0.158,629,0.313,693,0.294,452,0.366,188,0.549,427,0.374
socioprofessionalCategoriesUnemployedOrNotWorking,122635,0.017,37231,0.038,32586,0.040,26009,0.046,11829,0.069,14979,0.062
