attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,265360,0.005,65906,0.027,69999,0.026,47121,0.033,32842,0.041,49492,0.033
sexMale,127957,0.017,25804,0.047,36878,0.039,18942,0.056,19327,0.055,27007,0.046
sexFemale,137403,0.015,40102,0.036,33121,0.040,28179,0.044,13516,0.065,22485,0.051
age25_44,85857,0.023,10765,0.077,19893,0.055,15564,0.063,12942,0.069,26693,0.047
age45_64,104899,0.019,23281,0.049,30786,0.042,20574,0.052,13331,0.066,16928,0.058
age65+,74604,0.025,31860,0.041,19320,0.054,10984,0.073,6569,0.094,5871,0.101
citizenSwiss,187559,0.011,36444,0.038,59166,0.029,33083,0.040,26365,0.046,32501,0.041
citizenUE28_AELE,65927,0.028,23804,0.050,9461,0.082,12115,0.072,5913,0.104,14633,0.066
citizenOtherEuropeanCountries,6436,0.100,3367,0.138,1046,0.258,857,0.278,275,0.495,891,0.270
citizenOtherWorldwideCountries,5417,0.111,2290,0.173,326,0.450,1066,0.251,289,0.477,1446,0.214
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,128713,0.016,21078,0.051,43895,0.034,23372,0.049,18390,0.056,21978,0.051
migratoryBackgroundSwissWith,57810,0.029,15108,0.061,14916,0.062,9560,0.078,7857,0.086,10368,0.075
migratoryBackgroundFirstGeneration,71640,0.027,28447,0.045,8348,0.087,12914,0.070,5578,0.107,16353,0.062
migratoryBackgroundSecondGenerationAndMore,5899,0.105,832,0.278,2449,0.164,1102,0.246,878,0.275,638,0.327
migratoryBackgroundUnknown,1298,0.218,441,0.373,390,0.397,172,0.604,139,0.675,155,0.635
labourMarketEmployedPersons,146746,0.015,20884,0.053,39516,0.037,26235,0.047,22959,0.050,37151,0.039
labourMarketUnemployedPersons,9881,0.080,2650,0.156,2140,0.172,1959,0.181,963,0.257,2169,0.173
labourMarketPersonsWithoutProfessionalActivity,108733,0.019,42372,0.035,28343,0.044,18926,0.055,8920,0.081,10171,0.077
socioprofessionalCategoriesExecutives,7455,0.090,734,0.294,1614,0.194,957,0.254,1526,0.200,2623,0.152
socioprofessionalCategoriesLiberalAndSimilar,4574,0.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4574,0.115
socioprofessionalCategoriesOtherSelfEmployed,16107,0.060,2436,0.159,5046,0.109,3462,0.133,3623,0.130,1539,0.202
socioprofessionalCategoriesIntellectualAndManagerial,23102,0.050,347,0.427,866,0.266,949,0.259,1036,0.244,19904,0.054
socioprofessionalCategoriesIntermediate,36627,0.039,2220,0.167,6088,0.100,5563,0.105,15700,0.061,7056,0.095
socioprofessionalCategoriesSkilledNonManuals,30347,0.043,189,0.575,18311,0.056,11847,0.071,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,7818,0.089,639,0.313,5515,0.107,1664,0.196,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,11919,0.072,11919,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,539,0.354,NaN,NaN,104,0.777,170,0.637,NaN,NaN,131,0.721
socioprofessionalCategoriesNotAttributable,8259,0.086,2320,0.164,1973,0.176,1622,0.196,1020,0.248,1325,0.218
socioprofessionalCategoriesUnemployedOrNotWorking,118614,0.018,45022,0.034,30483,0.042,20886,0.052,9884,0.077,12341,0.070
