attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,265259.0,0.005,0.2426,0.027,0.2543,0.026,0.1787,0.032,0.134,0.038,0.1904,0.032
sexMale,127902.0,0.017,0.199,0.047,0.2717,0.039,0.1507,0.055,0.1618,0.052,0.2168,0.045
sexFemale,137357.0,0.015,0.2831,0.036,0.2382,0.039,0.2047,0.043,0.1082,0.06,0.1659,0.049
age25_44,84210.0,0.023,0.1305,0.075,0.2079,0.057,0.183,0.062,0.1602,0.066,0.3183,0.046
age45_64,105608.0,0.019,0.2178,0.049,0.2818,0.042,0.1938,0.052,0.1414,0.061,0.1651,0.057
age65+,75441.0,0.023,0.4024,0.041,0.2676,0.051,0.1526,0.068,0.0944,0.088,0.083,0.095
citizenSwiss,188286.0,0.011,0.1824,0.038,0.3029,0.029,0.1804,0.039,0.1558,0.042,0.1785,0.039
citizenUE28_AELE,65058.0,0.027,0.3674,0.048,0.1414,0.08,0.1819,0.071,0.0845,0.105,0.2249,0.064
citizenOtherEuropeanCountries,6494.0,0.101,0.5499,0.135,0.1172,0.303,0.1207,0.296,0.0528,0.453,0.1592,0.256
citizenOtherWorldwideCountries,5376.0,0.111,0.4628,0.165,0.0871,0.375,0.1496,0.284,0.0716,0.429,0.2292,0.232
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,127244.0,0.016,0.1514,0.052,0.3297,0.034,0.1851,0.047,0.1615,0.051,0.1723,0.05
migratoryBackgroundSwissWith,60058.0,0.028,0.2444,0.061,0.2462,0.061,0.172,0.073,0.1448,0.08,0.1927,0.07
migratoryBackgroundFirstGeneration,71013.0,0.026,0.4036,0.044,0.1189,0.084,0.1743,0.07,0.0737,0.108,0.2295,0.061
migratoryBackgroundSecondGenerationAndMore,5820.0,0.103,0.2168,0.22,0.3342,0.179,0.1761,0.248,0.1698,0.254,0.1031,0.327
migratoryBackgroundUnknown,1124.0,0.229,0.4208,0.355,0.3007,0.415,0.1023,0.72,0.0738,0.85,0.1023,0.72
labourMarketEmployedPersons,146853.0,0.015,0.1389,0.053,0.2497,0.038,0.18,0.046,0.1686,0.047,0.2628,0.037
labourMarketUnemployedPersons,9807.0,0.079,0.3094,0.146,0.2189,0.169,0.1794,0.19,0.1109,0.238,0.1814,0.187
labourMarketPersonsWithoutProfessionalActivity,108599.0,0.018,0.3768,0.035,0.2638,0.042,0.1768,0.053,0.0894,0.075,0.0933,0.076
socioprofessionalCategoriesExecutives,8260.0,0.084,0.0879,0.286,0.1916,0.193,0.1452,0.222,0.1944,0.192,0.381,0.137
socioprofessionalCategoriesLiberalAndSimilar,4922.0,0.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.109
socioprofessionalCategoriesOtherSelfEmployed,15378.0,0.061,0.1415,0.167,0.3318,0.107,0.2097,0.136,0.2396,0.126,0.0774,0.226
socioprofessionalCategoriesIntellectualAndManagerial,23611.0,0.049,0.0125,0.464,0.0397,0.249,0.0465,0.236,0.0489,0.225,0.8525,0.053
socioprofessionalCategoriesIntermediate,36988.0,0.038,0.0509,0.181,0.1356,0.107,0.1497,0.103,0.4629,0.057,0.2008,0.09
socioprofessionalCategoriesSkilledNonManuals,29315.0,0.043,0.0081,0.509,0.5914,0.057,0.4005,0.07,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,7001.0,0.093,0.0963,0.301,0.6839,0.113,0.2198,0.199,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,11722.0,0.071,1.0,0.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,510.0,0.36,0.251,0.719,NaN,NaN,0.3216,0.634,NaN,NaN,0.2608,0.721
socioprofessionalCategoriesNotAttributable,9145.0,0.08,0.2793,0.153,0.2027,0.178,0.2115,0.176,0.1263,0.227,0.1801,0.192
socioprofessionalCategoriesUnemployedOrNotWorking,118406.0,0.017,0.3712,0.033,0.2601,0.041,0.177,0.051,0.0912,0.072,0.1006,0.07
