attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.2304,0.0,0.2632,0.0,0.1836,0.0,0.126,0.0,0.1969,0.0
sexMale,1.0,0.0,0.1877,0.0,0.2868,0.0,0.1611,0.001,0.1463,0.001,0.2182,0.0
sexFemale,1.0,0.0,0.2701,0.0,0.2413,0.0,0.2045,0.0,0.1071,0.001,0.1771,0.0
age25_44,1.0,0.0,0.1249,0.001,0.211,0.001,0.1837,0.001,0.1474,0.001,0.333,0.0
age45_64,1.0,0.0,0.2045,0.001,0.2945,0.0,0.1917,0.001,0.1369,0.001,0.1723,0.001
age65+,1.0,0.0,0.3808,0.0,0.2762,0.001,0.172,0.001,0.0875,0.001,0.0835,0.001
citizenSwiss,1.0,0.0,0.1725,0.0,0.3171,0.0,0.1896,0.0,0.1415,0.0,0.1792,0.0
citizenUE28_AELE,1.0,0.0,0.3499,0.0,0.1325,0.001,0.1786,0.001,0.0902,0.001,0.2488,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.5697,0.001,0.1475,0.003,0.0897,0.003,0.0604,0.004,0.1326,0.003
citizenOtherWorldwideCountries,1.0,0.001,0.4135,0.002,0.0855,0.004,0.1433,0.003,0.0878,0.004,0.27,0.002
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1475,0.001,0.3442,0.0,0.1874,0.0,0.1433,0.001,0.1777,0.0
migratoryBackgroundSwissWith,1.0,0.0,0.2277,0.001,0.2551,0.001,0.1946,0.001,0.1374,0.001,0.1851,0.001
migratoryBackgroundFirstGeneration,1.0,0.0,0.3896,0.0,0.1088,0.001,0.1685,0.001,0.0823,0.001,0.2508,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.001,0.187,0.002,0.3675,0.002,0.1736,0.002,0.1462,0.003,0.1257,0.003
migratoryBackgroundUnknown,1.0,0.002,0.2449,0.004,0.3527,0.003,0.1744,0.005,0.1385,0.005,0.0888,0.007
labourMarketEmployedPersons,1.0,0.0,0.1282,0.001,0.2563,0.0,0.1815,0.0,0.1606,0.0,0.2734,0.0
labourMarketUnemployedPersons,1.0,0.001,0.2553,0.002,0.2444,0.002,0.2001,0.002,0.1091,0.002,0.1911,0.002
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.356,0.0,0.2735,0.0,0.1846,0.001,0.0842,0.001,0.1017,0.001
socioprofessionalCategoriesExecutives,1.0,0.001,0.0763,0.003,0.1698,0.002,0.1154,0.002,0.1961,0.002,0.4424,0.001
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.001
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.1373,0.002,0.3298,0.001,0.2362,0.001,0.2238,0.001,0.0728,0.002
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.0,0.0082,0.006,0.0273,0.003,0.0452,0.002,0.0428,0.002,0.8766,0.001
socioprofessionalCategoriesIntermediate,1.0,0.0,0.0512,0.002,0.1609,0.001,0.1424,0.001,0.4597,0.001,0.1858,0.001
socioprofessionalCategoriesSkilledNonManuals,1.0,0.0,0.005,0.006,0.5823,0.001,0.4128,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0984,0.003,0.6514,0.001,0.25,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.005,NaN,NaN,NaN,NaN,0.4387,0.007,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.001,0.2211,0.002,0.2287,0.002,0.1659,0.003,0.1679,0.003,0.2162,0.002
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3474,0.0,0.271,0.0,0.1859,0.0,0.0863,0.001,0.1093,0.001
