attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,264891.0,0.005,60519.0,0.029,71372.0,0.026,48306.0,0.033,32485.0,0.041,52209.0,0.031
sexMale,0.4814,0.017,0.3929,0.05,0.5308,0.038,0.4009,0.056,0.5732,0.055,0.5339,0.045
sexFemale,0.5186,0.015,0.6071,0.038,0.4692,0.04,0.5991,0.043,0.4268,0.064,0.4661,0.048
age25_44,0.3071,0.024,0.1542,0.085,0.2596,0.057,0.3137,0.064,0.3439,0.073,0.5199,0.046
age45_64,0.402,0.019,0.3647,0.052,0.4375,0.042,0.4168,0.053,0.4428,0.063,0.3579,0.055
age65+,0.2909,0.024,0.4811,0.043,0.3029,0.051,0.2695,0.066,0.2133,0.091,0.1222,0.096
citizenSwiss,0.7142,0.011,0.5432,0.041,0.8405,0.028,0.7219,0.039,0.8217,0.045,0.6658,0.039
citizenUE28_AELE,0.2407,0.028,0.3656,0.051,0.1349,0.079,0.2455,0.071,0.1588,0.108,0.287,0.062
citizenOtherEuropeanCountries,0.0238,0.106,0.0518,0.152,0.0174,0.238,0.0156,0.311,0.0108,0.45,0.0157,0.298
citizenOtherWorldwideCountries,0.0211,0.115,0.0391,0.179,0.0072,0.384,0.017,0.304,0.0087,0.511,0.0307,0.213
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.4826,0.016,0.3029,0.056,0.6161,0.034,0.4886,0.049,0.5609,0.055,0.4542,0.048
migratoryBackgroundSwissWith,0.2271,0.028,0.2345,0.064,0.2178,0.061,0.2308,0.072,0.2552,0.084,0.2103,0.073
migratoryBackgroundFirstGeneration,0.2612,0.027,0.4355,0.047,0.1243,0.084,0.2534,0.071,0.151,0.113,0.322,0.06
migratoryBackgroundSecondGenerationAndMore,0.0229,0.101,0.0165,0.251,0.0345,0.16,0.023,0.243,0.0267,0.265,0.0119,0.315
migratoryBackgroundUnknown,0.0062,0.194,0.0105,0.316,0.0074,0.342,0.0041,0.55,0.0062,0.551,0.0016,0.851
labourMarketEmployedPersons,0.5387,0.015,0.3018,0.057,0.5265,0.038,0.526,0.047,0.6831,0.05,0.752,0.037
labourMarketUnemployedPersons,0.0382,0.08,0.0468,0.156,0.0369,0.159,0.0401,0.185,0.0289,0.265,0.0342,0.193
labourMarketPersonsWithoutProfessionalActivity,0.423,0.019,0.6514,0.037,0.4366,0.042,0.4339,0.052,0.288,0.079,0.2138,0.074
socioprofessionalCategoriesExecutives,0.0352,0.078,0.0081,0.354,0.0208,0.199,0.0269,0.213,0.0561,0.179,0.081,0.116
socioprofessionalCategoriesLiberalAndSimilar,0.0202,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1025,0.105
socioprofessionalCategoriesOtherSelfEmployed,0.0611,0.06,0.0363,0.169,0.0792,0.104,0.0724,0.134,0.1083,0.131,0.0255,0.22
socioprofessionalCategoriesIntellectualAndManagerial,0.0884,0.049,0.0042,0.494,0.0089,0.305,0.0188,0.257,0.0343,0.231,0.3928,0.052
socioprofessionalCategoriesIntermediate,0.1313,0.039,0.0329,0.176,0.0787,0.102,0.1008,0.11,0.4727,0.061,0.1332,0.093
socioprofessionalCategoriesSkilledNonManuals,0.1138,0.042,0.0016,0.776,0.2518,0.056,0.2501,0.07,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0311,0.087,0.0106,0.309,0.0756,0.108,0.0454,0.171,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.043,0.073,0.1882,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0017,0.399,0.0016,0.856,0.0021,0.676,0.0021,0.854,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0129,0.135,0.0184,0.239,0.0094,0.301,0.0097,0.361,0.0106,0.415,0.0157,0.279
socioprofessionalCategoriesUnemployedOrNotWorking,0.4613,0.017,0.6982,0.036,0.4734,0.04,0.474,0.05,0.3169,0.076,0.248,0.069
