attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,25844,0.025,7033,0.118,10554,0.086,1709,0.267,4261,0.158,2288,0.228
sexMale,13050,0.074,2546,0.218,5548,0.134,783,0.410,2958,0.194,1216,0.317
sexFemale,12794,0.074,4487,0.155,5006,0.141,926,0.360,1303,0.304,1072,0.343
age25_44,8909,0.101,1075,0.350,3702,0.172,851,0.392,2000,0.241,1281,0.313
age45_64,10312,0.088,2647,0.211,4650,0.146,584,0.451,1562,0.273,869,0.376
age65+,6623,0.121,3312,0.183,2201,0.229,274,0.682,699,0.417,NaN,NaN
citizenSwiss,22892,0.033,5550,0.133,10221,0.087,1502,0.282,3895,0.164,1724,0.258
citizenUE28_AELE,2108,0.258,941,0.389,292,0.729,NaN,NaN,322,0.685,436,0.580
citizenOtherEuropeanCountries,502,0.555,330,0.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,342,0.682,213,0.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21462,0.038,4937,0.143,9927,0.089,1340,0.300,3666,0.170,1591,0.269
migratoryBackgroundSwissWith,1430,0.284,612,0.439,294,0.642,162,0.862,229,0.728,NaN,NaN
migratoryBackgroundFirstGeneration,2795,0.224,1449,0.316,250,0.788,206,0.866,366,0.645,524,0.533
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,16525,0.058,2529,0.217,7368,0.111,1237,0.318,3395,0.180,1995,0.244
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,9178,0.097,4472,0.156,3077,0.189,472,0.514,865,0.375,292,0.684
socioprofessionalCategoriesExecutives,747,0.399,NaN,NaN,223,0.727,NaN,NaN,251,0.680,157,0.862
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,1667,0.263,259,0.681,836,0.374,NaN,NaN,431,0.534,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1552,0.276,NaN,NaN,NaN,NaN,NaN,NaN,156,0.862,1261,0.308
socioprofessionalCategoriesIntermediate,4928,0.146,243,0.734,1169,0.317,545,0.465,2525,0.213,446,0.557
socioprofessionalCategoriesSkilledNonManuals,3088,0.189,NaN,NaN,2731,0.201,357,0.614,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1845,0.251,NaN,NaN,1774,0.256,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1223,0.318,1223,0.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1410,0.292,725,0.419,541,0.465,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,9319,0.096,4504,0.155,3185,0.185,472,0.514,865,0.375,292,0.684
