attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,26205,0.025,6604,0.124,11100,0.083,1966,0.242,4139,0.155,2396,0.213
sexMale,13119,0.073,2139,0.238,6236,0.125,635,0.440,2661,0.201,1448,0.282
sexFemale,13086,0.073,4465,0.157,4864,0.145,1330,0.296,1479,0.270,947,0.343
age25_44,8923,0.095,971,0.351,4210,0.156,775,0.383,1733,0.246,1234,0.301
age45_64,10343,0.087,2521,0.213,4615,0.148,689,0.418,1705,0.253,813,0.375
age65+,6939,0.123,3112,0.197,2276,0.233,501,0.513,701,0.428,349,0.608
citizenSwiss,22996,0.035,5236,0.143,10408,0.088,1601,0.270,3788,0.164,1963,0.238
citizenUE28_AELE,2605,0.205,1009,0.350,584,0.441,365,0.582,351,0.561,295,0.609
citizenOtherEuropeanCountries,448,0.557,253,0.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,157,0.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21191,0.042,4588,0.156,9782,0.092,1409,0.289,3576,0.170,1835,0.247
migratoryBackgroundSwissWith,1703,0.258,612,0.440,595,0.452,191,0.787,212,0.728,NaN,NaN
migratoryBackgroundFirstGeneration,3068,0.190,1313,0.306,607,0.442,365,0.582,351,0.561,433,0.518
migratoryBackgroundSecondGenerationAndMore,141,0.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,16767,0.055,2545,0.210,7817,0.106,1149,0.317,3429,0.171,1827,0.244
labourMarketUnemployedPersons,334,0.611,179,0.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,9104,0.101,3880,0.173,3221,0.189,753,0.408,710,0.418,540,0.481
socioprofessionalCategoriesExecutives,858,0.367,NaN,NaN,194,0.787,NaN,NaN,280,0.641,282,0.642
socioprofessionalCategoriesLiberalAndSimilar,157,0.866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157,0.866
socioprofessionalCategoriesOtherSelfEmployed,1823,0.251,393,0.555,956,0.354,170,0.863,270,0.644,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1438,0.276,NaN,NaN,NaN,NaN,NaN,NaN,274,0.643,1105,0.317
socioprofessionalCategoriesIntermediate,4764,0.142,152,0.867,1412,0.281,408,0.534,2571,0.201,222,0.729
socioprofessionalCategoriesSkilledNonManuals,3153,0.182,NaN,NaN,2749,0.196,370,0.557,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2280,0.223,NaN,NaN,2116,0.232,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1605,0.270,1605,0.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,653,0.429,228,0.731,295,0.644,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,9438,0.098,4059,0.169,3284,0.187,817,0.390,710,0.418,568,0.467
