attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,25844.0,0.025,0.2721,0.118,0.4084,0.086,0.0661,0.267,0.1649,0.158,0.0885,0.228
sexMale,13050.0,0.074,0.1951,0.218,0.4251,0.134,0.06,0.41,0.2267,0.194,0.0932,0.317
sexFemale,12794.0,0.074,0.3507,0.155,0.3913,0.141,0.0724,0.36,0.1018,0.304,0.0838,0.343
age25_44,8909.0,0.101,0.1207,0.35,0.4155,0.172,0.0955,0.392,0.2245,0.241,0.1438,0.313
age45_64,10312.0,0.088,0.2567,0.211,0.4509,0.146,0.0566,0.451,0.1515,0.273,0.0843,0.376
age65+,6623.0,0.121,0.5001,0.183,0.3323,0.229,0.0414,0.682,0.1055,0.417,NaN,NaN
citizenSwiss,22892.0,0.033,0.2424,0.133,0.4465,0.087,0.0656,0.282,0.1701,0.164,0.0753,0.258
citizenUE28_AELE,2108.0,0.258,0.4464,0.389,0.1385,0.729,NaN,NaN,0.1528,0.685,0.2068,0.58
citizenOtherEuropeanCountries,502.0,0.555,0.6574,0.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,342.0,0.682,0.6228,0.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21462.0,0.038,0.23,0.143,0.4625,0.089,0.0624,0.3,0.1708,0.17,0.0741,0.269
migratoryBackgroundSwissWith,1430.0,0.284,0.428,0.439,0.2056,0.642,0.1133,0.862,0.1601,0.728,NaN,NaN
migratoryBackgroundFirstGeneration,2795.0,0.224,0.5184,0.316,0.0894,0.788,0.0737,0.866,0.1309,0.645,0.1875,0.533
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,16525.0,0.058,0.153,0.217,0.4459,0.111,0.0749,0.318,0.2054,0.18,0.1207,0.244
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,9178.0,0.097,0.4873,0.156,0.3353,0.189,0.0514,0.514,0.0942,0.375,0.0318,0.684
socioprofessionalCategoriesExecutives,747.0,0.399,NaN,NaN,0.2985,0.727,NaN,NaN,0.336,0.68,0.2102,0.862
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,1667.0,0.263,0.1554,0.681,0.5015,0.374,NaN,NaN,0.2585,0.534,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1552.0,0.276,NaN,NaN,NaN,NaN,NaN,NaN,0.1005,0.862,0.8125,0.308
socioprofessionalCategoriesIntermediate,4928.0,0.146,0.0493,0.734,0.2372,0.317,0.1106,0.465,0.5124,0.213,0.0905,0.557
socioprofessionalCategoriesSkilledNonManuals,3088.0,0.189,NaN,NaN,0.8844,0.201,0.1156,0.614,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1845.0,0.251,NaN,NaN,0.9615,0.256,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1223.0,0.318,1.0,0.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1410.0,0.292,0.5142,0.419,0.3837,0.465,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,9319.0,0.096,0.4833,0.155,0.3418,0.185,0.0506,0.514,0.0928,0.375,0.0313,0.684
