attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.2721,0.001,0.4084,0.001,0.0661,0.003,0.1649,0.002,0.0885,0.002
sexMale,1.0,0.001,0.1951,0.002,0.4251,0.001,0.06,0.004,0.2267,0.002,0.0932,0.003
sexFemale,1.0,0.001,0.3507,0.002,0.3913,0.001,0.0724,0.004,0.1018,0.003,0.0838,0.003
age25_44,1.0,0.001,0.1207,0.003,0.4155,0.002,0.0955,0.004,0.2245,0.002,0.1438,0.003
age45_64,1.0,0.001,0.2567,0.002,0.4509,0.001,0.0566,0.005,0.1515,0.003,0.0843,0.004
age65+,1.0,0.001,0.5001,0.002,0.3323,0.002,0.0414,0.007,0.1055,0.004,NaN,NaN
citizenSwiss,1.0,0.0,0.2424,0.001,0.4465,0.001,0.0656,0.003,0.1701,0.002,0.0753,0.003
citizenUE28_AELE,1.0,0.003,0.4464,0.004,0.1385,0.007,NaN,NaN,0.1528,0.007,0.2068,0.006
citizenOtherEuropeanCountries,1.0,0.006,0.6574,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.007,0.6228,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.23,0.001,0.4625,0.001,0.0624,0.003,0.1708,0.002,0.0741,0.003
migratoryBackgroundSwissWith,1.0,0.003,0.428,0.004,0.2056,0.006,0.1133,0.009,0.1601,0.007,NaN,NaN
migratoryBackgroundFirstGeneration,1.0,0.002,0.5184,0.003,0.0894,0.008,0.0737,0.009,0.1309,0.006,0.1875,0.005
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.001,0.153,0.002,0.4459,0.001,0.0749,0.003,0.2054,0.002,0.1207,0.002
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,1.0,0.001,0.4873,0.002,0.3353,0.002,0.0514,0.005,0.0942,0.004,0.0318,0.007
socioprofessionalCategoriesExecutives,1.0,0.004,NaN,NaN,0.2985,0.007,NaN,NaN,0.336,0.007,0.2102,0.009
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.003,0.1554,0.007,0.5015,0.004,NaN,NaN,0.2585,0.005,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,0.1005,0.009,0.8125,0.003
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0493,0.007,0.2372,0.003,0.1106,0.005,0.5124,0.002,0.0905,0.006
socioprofessionalCategoriesSkilledNonManuals,1.0,0.002,NaN,NaN,0.8844,0.002,0.1156,0.006,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.003,NaN,NaN,0.9615,0.003,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.003,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.003,0.5142,0.004,0.3837,0.005,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.001,0.4833,0.002,0.3418,0.002,0.0506,0.005,0.0928,0.004,0.0313,0.007
