attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,25844.0,0.025,7033.0,0.118,10554.0,0.086,1709.0,0.267,4261.0,0.158,2288.0,0.228
sexMale,0.505,0.074,0.362,0.218,0.5257,0.134,0.4582,0.41,0.6942,0.194,0.5315,0.317
sexFemale,0.495,0.074,0.638,0.155,0.4743,0.141,0.5418,0.36,0.3058,0.304,0.4685,0.343
age25_44,0.3447,0.101,0.1529,0.35,0.3508,0.172,0.498,0.392,0.4694,0.241,0.5599,0.313
age45_64,0.399,0.088,0.3764,0.211,0.4406,0.146,0.3417,0.451,0.3666,0.273,0.3798,0.376
age65+,0.2563,0.121,0.4709,0.183,0.2085,0.229,0.1603,0.682,0.164,0.417,NaN,NaN
citizenSwiss,0.8858,0.033,0.7891,0.133,0.9684,0.087,0.8789,0.282,0.9141,0.164,0.7535,0.258
citizenUE28_AELE,0.0816,0.258,0.1338,0.389,0.0277,0.729,NaN,NaN,0.0756,0.685,0.1906,0.58
citizenOtherEuropeanCountries,0.0194,0.555,0.0469,0.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,0.0132,0.682,0.0303,0.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.8304,0.038,0.702,0.143,0.9406,0.089,0.7841,0.3,0.8604,0.17,0.6954,0.269
migratoryBackgroundSwissWith,0.0553,0.284,0.087,0.439,0.0279,0.642,0.0948,0.862,0.0537,0.728,NaN,NaN
migratoryBackgroundFirstGeneration,0.1081,0.224,0.206,0.316,0.0237,0.788,0.1205,0.866,0.0859,0.645,0.229,0.533
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6394,0.058,0.3596,0.217,0.6981,0.111,0.7238,0.318,0.7968,0.18,0.8719,0.244
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,0.3551,0.097,0.6359,0.156,0.2915,0.189,0.2762,0.514,0.203,0.375,0.1276,0.684
socioprofessionalCategoriesExecutives,0.0289,0.399,NaN,NaN,0.0211,0.727,NaN,NaN,0.0589,0.68,0.0686,0.862
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,0.0645,0.263,0.0368,0.681,0.0792,0.374,NaN,NaN,0.1011,0.534,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,0.0601,0.276,NaN,NaN,NaN,NaN,NaN,NaN,0.0366,0.862,0.5511,0.308
socioprofessionalCategoriesIntermediate,0.1907,0.146,0.0346,0.734,0.1108,0.317,0.3189,0.465,0.5926,0.213,0.1949,0.557
socioprofessionalCategoriesSkilledNonManuals,0.1195,0.189,NaN,NaN,0.2588,0.201,0.2089,0.614,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0714,0.251,NaN,NaN,0.1681,0.256,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0473,0.318,0.1739,0.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0546,0.292,0.1031,0.419,0.0513,0.465,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,0.3606,0.096,0.6404,0.155,0.3018,0.185,0.2762,0.514,0.203,0.375,0.1276,0.684
