attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,549771,0.004,138676,0.019,149192,0.018,52936,0.033,66320,0.029,142646,0.018
sexMale,265707,0.012,58277,0.032,72899,0.027,19959,0.056,39107,0.038,75466,0.027
sexFemale,284064,0.011,80400,0.026,76293,0.026,32977,0.042,27214,0.046,67180,0.029
age25_44,221886,0.014,42483,0.039,50151,0.034,22308,0.053,24281,0.050,82663,0.026
age45_64,204707,0.014,52378,0.033,60506,0.030,19717,0.054,27392,0.045,44714,0.035
age65+,123178,0.019,43815,0.035,38536,0.037,10911,0.072,14646,0.062,15269,0.061
citizenSwiss,367209,0.008,67179,0.028,125573,0.019,37780,0.039,53204,0.032,83473,0.025
citizenUE28_AELE,135178,0.019,49688,0.034,19419,0.056,10796,0.077,10644,0.076,44630,0.037
citizenOtherEuropeanCountries,17941,0.063,10553,0.082,1880,0.201,1671,0.208,741,0.314,3096,0.154
citizenOtherWorldwideCountries,29443,0.047,11256,0.078,2320,0.172,2690,0.162,1731,0.198,11447,0.077
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,274773,0.011,45753,0.035,104490,0.022,27386,0.046,40872,0.037,56272,0.031
migratoryBackgroundSwissWith,90222,0.024,20901,0.052,20064,0.054,10242,0.076,12116,0.069,26900,0.046
migratoryBackgroundFirstGeneration,174162,0.017,69755,0.029,20171,0.056,14360,0.067,12227,0.072,57651,0.032
migratoryBackgroundSecondGenerationAndMore,7779,0.091,1334,0.221,3431,0.136,708,0.313,828,0.275,1479,0.211
migratoryBackgroundUnknown,2834,0.150,935,0.270,1036,0.240,241,0.533,277,0.480,345,0.428
labourMarketEmployedPersons,346037,0.009,65403,0.030,91685,0.024,31630,0.044,46723,0.035,110595,0.022
labourMarketUnemployedPersons,26448,0.049,8501,0.088,6284,0.100,2817,0.152,2122,0.171,6725,0.098
labourMarketPersonsWithoutProfessionalActivity,177286,0.015,64772,0.029,51223,0.032,18489,0.056,17475,0.057,25326,0.048
socioprofessionalCategoriesExecutives,17490,0.058,1494,0.205,2702,0.148,1230,0.222,3510,0.129,8554,0.083
socioprofessionalCategoriesLiberalAndSimilar,9192,0.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9192,0.081
socioprofessionalCategoriesOtherSelfEmployed,27588,0.046,5174,0.110,10922,0.074,3013,0.142,5956,0.099,2523,0.157
socioprofessionalCategoriesIntellectualAndManagerial,74883,0.027,864,0.267,2433,0.157,1288,0.217,2780,0.147,67518,0.029
socioprofessionalCategoriesIntermediate,85549,0.025,8096,0.088,16471,0.060,8666,0.084,33156,0.042,19160,0.057
socioprofessionalCategoriesSkilledNonManuals,57991,0.031,876,0.267,43222,0.036,13893,0.067,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,17023,0.060,2127,0.171,12532,0.070,2363,0.167,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,41457,0.038,41457,0.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1038,0.258,481,0.383,296,0.480,145,0.675,NaN,NaN,116,0.780
socioprofessionalCategoriesNotAttributable,13826,0.067,4835,0.115,3107,0.140,1032,0.247,1321,0.214,3532,0.138
socioprofessionalCategoriesUnemployedOrNotWorking,203734,0.014,73273,0.027,57507,0.031,21306,0.052,19597,0.054,32051,0.043
