attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,556742,0.004,135414,0.019,151185,0.018,53069,0.033,65958,0.029,151116,0.018
sexMale,269067,0.012,57723,0.033,75538,0.027,19906,0.057,38607,0.039,77293,0.028
sexFemale,287675,0.011,77690,0.027,75647,0.027,33163,0.042,27350,0.046,73824,0.028
age25_44,224276,0.014,40144,0.041,49660,0.035,23570,0.053,24074,0.051,86828,0.026
age45_64,207856,0.014,52001,0.034,61370,0.030,18203,0.057,27808,0.046,48474,0.034
age65+,124610,0.020,43269,0.036,40156,0.037,11296,0.072,14075,0.065,15814,0.061
citizenSwiss,372332,0.008,65235,0.029,127828,0.019,37352,0.039,52194,0.033,89723,0.024
citizenUE28_AELE,135948,0.020,48647,0.036,18193,0.060,11357,0.077,11124,0.077,46626,0.037
citizenOtherEuropeanCountries,18396,0.063,9898,0.086,2518,0.178,1887,0.198,710,0.325,3384,0.147
citizenOtherWorldwideCountries,29946,0.047,11533,0.078,2646,0.164,2454,0.170,1929,0.189,11383,0.078
citizenUnknown,120,0.781,101,0.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,276185,0.011,44754,0.035,105823,0.022,26136,0.048,40384,0.038,59089,0.031
migratoryBackgroundSwissWith,94229,0.023,19903,0.054,21233,0.053,11096,0.074,11626,0.072,30371,0.044
migratoryBackgroundFirstGeneration,176237,0.017,68401,0.030,20297,0.057,14959,0.067,12670,0.073,59911,0.032
migratoryBackgroundSecondGenerationAndMore,7698,0.093,1537,0.211,2930,0.150,702,0.310,1047,0.250,1482,0.216
migratoryBackgroundUnknown,2392,0.165,819,0.283,903,0.268,177,0.604,230,0.533,263,0.494
labourMarketEmployedPersons,351973,0.009,63532,0.031,92368,0.024,32248,0.044,46811,0.035,117013,0.021
labourMarketUnemployedPersons,26659,0.049,8126,0.092,6096,0.103,2453,0.166,2185,0.174,7800,0.092
labourMarketPersonsWithoutProfessionalActivity,178110,0.016,63756,0.030,52721,0.032,18369,0.057,16961,0.059,26303,0.048
socioprofessionalCategoriesExecutives,17112,0.060,1635,0.200,2819,0.147,931,0.260,2946,0.145,8782,0.084
socioprofessionalCategoriesLiberalAndSimilar,9441,0.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9441,0.081
socioprofessionalCategoriesOtherSelfEmployed,28425,0.046,5383,0.109,10535,0.076,3035,0.145,6773,0.096,2699,0.155
socioprofessionalCategoriesIntellectualAndManagerial,79401,0.027,866,0.273,2629,0.155,1278,0.225,2968,0.145,71659,0.028
socioprofessionalCategoriesIntermediate,86143,0.026,8141,0.090,17584,0.059,7767,0.090,32816,0.043,19834,0.057
socioprofessionalCategoriesSkilledNonManuals,58315,0.031,1098,0.243,42519,0.037,14699,0.066,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,17362,0.061,2153,0.174,12410,0.072,2799,0.155,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,37979,0.041,37979,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1208,0.241,456,0.399,329,0.449,227,0.552,NaN,NaN,176,0.636
socioprofessionalCategoriesNotAttributable,16586,0.062,5821,0.107,3543,0.133,1512,0.209,1287,0.222,4422,0.124
socioprofessionalCategoriesUnemployedOrNotWorking,204769,0.014,71882,0.028,58817,0.031,20822,0.054,19146,0.056,34103,0.042
