attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,574370,0.004,0.2037,0.022,0.2952,0.016,0.0987,0.032,0.0996,0.031,0.3029,0.016
sexMale,277582,0.012,0.1872,0.035,0.3016,0.026,0.0795,0.054,0.1153,0.043,0.3165,0.025
sexFemale,296788,0.011,0.2192,0.03,0.2892,0.025,0.1166,0.041,0.0848,0.048,0.2902,0.025
age25_44,229209,0.014,0.1556,0.044,0.2445,0.033,0.1023,0.053,0.0887,0.055,0.4089,0.024
age45_64,215551,0.014,0.2184,0.037,0.3089,0.029,0.0915,0.056,0.106,0.051,0.2752,0.031
age65+,129610,0.019,0.2644,0.041,0.3619,0.034,0.104,0.066,0.1082,0.064,0.1614,0.052
citizenSwiss,386199,0.008,0.1388,0.033,0.3673,0.018,0.0978,0.039,0.1196,0.035,0.2765,0.022
citizenUE28_AELE,132458,0.02,0.3151,0.04,0.1639,0.055,0.0968,0.073,0.0645,0.088,0.3597,0.036
citizenOtherEuropeanCountries,24312,0.053,0.4058,0.086,0.1195,0.158,0.1183,0.158,0.0442,0.254,0.3122,0.092
citizenOtherWorldwideCountries,31259,0.046,0.3739,0.079,0.0966,0.155,0.1028,0.149,0.0443,0.224,0.3823,0.074
citizenUnknown,142,0.722,0.7254,0.853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,276570,0.011,0.1205,0.042,0.4084,0.021,0.09,0.049,0.1276,0.04,0.2535,0.028
migratoryBackgroundSwissWith,106780,0.022,0.1837,0.055,0.2581,0.046,0.1187,0.069,0.0989,0.075,0.3405,0.04
migratoryBackgroundFirstGeneration,178764,0.017,0.3446,0.032,0.1285,0.054,0.1011,0.061,0.058,0.08,0.3678,0.03
migratoryBackgroundSecondGenerationAndMore,9052,0.088,0.1711,0.217,0.5128,0.122,0.0901,0.296,0.0706,0.323,0.1553,0.223
migratoryBackgroundUnknown,3205,0.142,0.2811,0.273,0.4365,0.212,0.0677,0.554,0.1067,0.428,0.108,0.427
labourMarketEmployedPersons,351987,0.009,0.1536,0.034,0.2801,0.023,0.0887,0.044,0.1083,0.039,0.3694,0.02
labourMarketUnemployedPersons,29427,0.047,0.2492,0.099,0.2499,0.096,0.1114,0.146,0.0688,0.181,0.3208,0.083
labourMarketPersonsWithoutProfessionalActivity,192956,0.015,0.2882,0.033,0.3296,0.029,0.1149,0.052,0.0884,0.059,0.1788,0.042
socioprofessionalCategoriesExecutives,12766,0.068,0.0547,0.31,0.1332,0.189,0.0508,0.31,0.1572,0.172,0.6041,0.087
socioprofessionalCategoriesLiberalAndSimilar,13758,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.066
socioprofessionalCategoriesOtherSelfEmployed,32848,0.043,0.1892,0.104,0.4277,0.066,0.1153,0.131,0.196,0.098,0.0718,0.165
socioprofessionalCategoriesIntellectualAndManagerial,89858,0.024,0.0107,0.264,0.0441,0.125,0.017,0.201,0.0449,0.122,0.8833,0.026
socioprofessionalCategoriesIntermediate,85076,0.026,0.0804,0.099,0.1852,0.062,0.1369,0.073,0.2987,0.048,0.2988,0.049
socioprofessionalCategoriesSkilledNonManuals,60472,0.031,0.0435,0.157,0.7849,0.035,0.1716,0.079,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,20042,0.057,0.1517,0.15,0.7093,0.067,0.139,0.156,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,31950,0.045,1.0,0.045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,998,0.274,0.4509,0.409,0.2425,0.553,0.1633,0.675,NaN,NaN,0.1443,0.727
socioprofessionalCategoriesNotAttributable,4219,0.124,0.3005,0.229,0.2828,0.228,0.0659,0.477,0.0498,0.553,0.301,0.232
socioprofessionalCategoriesUnemployedOrNotWorking,222383,0.014,0.2831,0.031,0.319,0.028,0.1145,0.049,0.0858,0.056,0.1976,0.037
