attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.2037,0.0,0.2952,0.0,0.0987,0.0,0.0996,0.0,0.3029,0.0
sexMale,1.0,0.0,0.1872,0.0,0.3016,0.0,0.0795,0.001,0.1153,0.0,0.3165,0.0
sexFemale,1.0,0.0,0.2192,0.0,0.2892,0.0,0.1166,0.0,0.0848,0.0,0.2902,0.0
age25_44,1.0,0.0,0.1556,0.0,0.2445,0.0,0.1023,0.001,0.0887,0.001,0.4089,0.0
age45_64,1.0,0.0,0.2184,0.0,0.3089,0.0,0.0915,0.001,0.106,0.001,0.2752,0.0
age65+,1.0,0.0,0.2644,0.0,0.3619,0.0,0.104,0.001,0.1082,0.001,0.1614,0.001
citizenSwiss,1.0,0.0,0.1388,0.0,0.3673,0.0,0.0978,0.0,0.1196,0.0,0.2765,0.0
citizenUE28_AELE,1.0,0.0,0.3151,0.0,0.1639,0.001,0.0968,0.001,0.0645,0.001,0.3597,0.0
citizenOtherEuropeanCountries,1.0,0.001,0.4058,0.001,0.1195,0.002,0.1183,0.002,0.0442,0.003,0.3122,0.001
citizenOtherWorldwideCountries,1.0,0.0,0.3739,0.001,0.0966,0.002,0.1028,0.001,0.0443,0.002,0.3823,0.001
citizenUnknown,1.0,0.007,0.7254,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1205,0.0,0.4084,0.0,0.09,0.0,0.1276,0.0,0.2535,0.0
migratoryBackgroundSwissWith,1.0,0.0,0.1837,0.001,0.2581,0.0,0.1187,0.001,0.0989,0.001,0.3405,0.0
migratoryBackgroundFirstGeneration,1.0,0.0,0.3446,0.0,0.1285,0.001,0.1011,0.001,0.058,0.001,0.3678,0.0
migratoryBackgroundSecondGenerationAndMore,1.0,0.001,0.1711,0.002,0.5128,0.001,0.0901,0.003,0.0706,0.003,0.1553,0.002
migratoryBackgroundUnknown,1.0,0.001,0.2811,0.003,0.4365,0.002,0.0677,0.006,0.1067,0.004,0.108,0.004
labourMarketEmployedPersons,1.0,0.0,0.1536,0.0,0.2801,0.0,0.0887,0.0,0.1083,0.0,0.3694,0.0
labourMarketUnemployedPersons,1.0,0.0,0.2492,0.001,0.2499,0.001,0.1114,0.001,0.0688,0.002,0.3208,0.001
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.2882,0.0,0.3296,0.0,0.1149,0.001,0.0884,0.001,0.1788,0.0
socioprofessionalCategoriesExecutives,1.0,0.001,0.0547,0.003,0.1332,0.002,0.0508,0.003,0.1572,0.002,0.6041,0.001
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.001
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.0,0.1892,0.001,0.4277,0.001,0.1153,0.001,0.196,0.001,0.0718,0.002
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.0,0.0107,0.003,0.0441,0.001,0.017,0.002,0.0449,0.001,0.8833,0.0
socioprofessionalCategoriesIntermediate,1.0,0.0,0.0804,0.001,0.1852,0.001,0.1369,0.001,0.2987,0.0,0.2988,0.0
socioprofessionalCategoriesSkilledNonManuals,1.0,0.0,0.0435,0.002,0.7849,0.0,0.1716,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.1517,0.002,0.7093,0.001,0.139,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.003,0.4509,0.004,0.2425,0.006,0.1633,0.007,NaN,NaN,0.1443,0.007
socioprofessionalCategoriesNotAttributable,1.0,0.001,0.3005,0.002,0.2828,0.002,0.0659,0.005,0.0498,0.006,0.301,0.002
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.2831,0.0,0.319,0.0,0.1145,0.0,0.0858,0.001,0.1976,0.0
