attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,574370.0,0.004,117002.0,0.022,169529.0,0.016,56671.0,0.032,57192.0,0.031,173976.0,0.016
sexMale,0.4833,0.012,0.4441,0.035,0.4938,0.026,0.3893,0.054,0.5598,0.043,0.5049,0.025
sexFemale,0.5167,0.011,0.5559,0.03,0.5062,0.025,0.6106,0.041,0.4402,0.048,0.4951,0.025
age25_44,0.3991,0.014,0.3048,0.044,0.3306,0.033,0.4139,0.053,0.3553,0.055,0.5387,0.024
age45_64,0.3753,0.014,0.4024,0.037,0.3927,0.029,0.3482,0.056,0.3994,0.051,0.341,0.031
age65+,0.2257,0.019,0.2929,0.041,0.2767,0.034,0.238,0.066,0.2452,0.064,0.1203,0.052
citizenSwiss,0.6724,0.008,0.4581,0.033,0.8367,0.018,0.6662,0.039,0.8077,0.035,0.6138,0.022
citizenUE28_AELE,0.2306,0.02,0.3567,0.04,0.1281,0.055,0.2264,0.073,0.1493,0.088,0.2738,0.036
citizenOtherEuropeanCountries,0.0423,0.053,0.0843,0.086,0.0171,0.158,0.0507,0.158,0.0188,0.254,0.0436,0.092
citizenOtherWorldwideCountries,0.0544,0.046,0.0999,0.079,0.0178,0.155,0.0567,0.149,0.0242,0.224,0.0687,0.074
citizenUnknown,0.0002,0.722,0.0009,0.853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.4815,0.011,0.2849,0.042,0.6662,0.021,0.4391,0.049,0.617,0.04,0.403,0.028
migratoryBackgroundSwissWith,0.1859,0.022,0.1677,0.055,0.1626,0.046,0.2237,0.069,0.1847,0.075,0.209,0.04
migratoryBackgroundFirstGeneration,0.3112,0.017,0.5265,0.032,0.1355,0.054,0.3189,0.061,0.1811,0.08,0.378,0.03
migratoryBackgroundSecondGenerationAndMore,0.0158,0.088,0.0132,0.217,0.0274,0.122,0.0144,0.296,0.0112,0.323,0.0081,0.223
migratoryBackgroundUnknown,0.0056,0.142,0.0077,0.273,0.0083,0.212,0.0038,0.554,0.006,0.428,0.002,0.427
labourMarketEmployedPersons,0.6128,0.009,0.462,0.034,0.5815,0.023,0.5508,0.044,0.6663,0.039,0.7474,0.02
labourMarketUnemployedPersons,0.0512,0.047,0.0627,0.099,0.0434,0.096,0.0578,0.146,0.0354,0.181,0.0543,0.083
labourMarketPersonsWithoutProfessionalActivity,0.3359,0.015,0.4754,0.033,0.3751,0.029,0.3914,0.052,0.2983,0.059,0.1983,0.042
socioprofessionalCategoriesExecutives,0.0222,0.068,0.006,0.31,0.01,0.189,0.0115,0.31,0.0351,0.172,0.0443,0.087
socioprofessionalCategoriesLiberalAndSimilar,0.024,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0791,0.066
socioprofessionalCategoriesOtherSelfEmployed,0.0572,0.043,0.0531,0.104,0.0829,0.066,0.0668,0.131,0.1126,0.098,0.0136,0.165
socioprofessionalCategoriesIntellectualAndManagerial,0.1564,0.024,0.0082,0.264,0.0234,0.125,0.027,0.201,0.0706,0.122,0.4562,0.026
socioprofessionalCategoriesIntermediate,0.1481,0.026,0.0585,0.099,0.0929,0.062,0.2055,0.073,0.4443,0.048,0.1461,0.049
socioprofessionalCategoriesSkilledNonManuals,0.1053,0.031,0.0225,0.157,0.28,0.035,0.1832,0.079,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0349,0.057,0.026,0.15,0.0839,0.067,0.0491,0.156,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0556,0.045,0.2731,0.045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0017,0.274,0.0038,0.409,0.0014,0.553,0.0029,0.675,NaN,NaN,0.0008,0.727
socioprofessionalCategoriesNotAttributable,0.0073,0.124,0.0108,0.229,0.007,0.228,0.0049,0.477,0.0037,0.553,0.0073,0.232
socioprofessionalCategoriesUnemployedOrNotWorking,0.3872,0.014,0.538,0.031,0.4185,0.028,0.4492,0.049,0.3337,0.056,0.2526,0.037
