attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,245346,0.008,73270,0.036,83870,0.032,24849,0.068,26149,0.066,37209,0.055
sexMale,120631,0.025,28320,0.066,45027,0.049,10306,0.111,16621,0.085,20358,0.077
sexFemale,124715,0.023,44950,0.048,38843,0.052,14543,0.089,9528,0.111,16851,0.083
age25_44,88277,0.032,16699,0.088,30838,0.061,9396,0.116,10889,0.107,20455,0.077
age45_64,95166,0.029,27816,0.064,35058,0.055,10168,0.108,11006,0.104,11118,0.104
age65+,61903,0.039,28755,0.062,17973,0.079,5284,0.150,4253,0.168,5637,0.147
citizenSwiss,190650,0.014,47323,0.046,73896,0.035,20004,0.075,21663,0.072,27764,0.064
citizenUE28_AELE,45078,0.051,21191,0.077,8282,0.125,3848,0.187,3881,0.186,7876,0.132
citizenOtherEuropeanCountries,5039,0.181,2537,0.255,1260,0.360,499,0.587,259,0.798,483,0.597
citizenOtherWorldwideCountries,4541,0.170,2219,0.249,431,0.520,497,0.506,345,0.615,1048,0.350
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,166309,0.017,39554,0.051,67573,0.037,16712,0.083,19068,0.078,23401,0.070
migratoryBackgroundSwissWith,23609,0.069,7641,0.124,5984,0.141,3226,0.193,2532,0.218,4226,0.169
migratoryBackgroundFirstGeneration,51467,0.047,25621,0.071,8148,0.128,4497,0.175,4178,0.180,9022,0.123
migratoryBackgroundSecondGenerationAndMore,3158,0.199,255,0.686,1826,0.262,348,0.584,307,0.645,423,0.573
migratoryBackgroundUnknown,803,0.395,199,0.789,338,0.613,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,148976,0.020,31282,0.061,55306,0.043,15010,0.089,19931,0.077,27447,0.065
labourMarketUnemployedPersons,8719,0.122,3401,0.200,2308,0.236,917,0.385,813,0.406,1280,0.322
labourMarketPersonsWithoutProfessionalActivity,87651,0.031,38587,0.053,26255,0.064,8922,0.116,5404,0.149,8482,0.121
socioprofessionalCategoriesExecutives,6315,0.140,846,0.388,1664,0.273,563,0.476,1402,0.302,1840,0.258
socioprofessionalCategoriesLiberalAndSimilar,2618,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2618,0.219
socioprofessionalCategoriesOtherSelfEmployed,13496,0.094,2521,0.223,6202,0.140,1596,0.279,2565,0.219,612,0.456
socioprofessionalCategoriesIntellectualAndManagerial,20352,0.076,333,0.614,1137,0.331,514,0.483,1028,0.347,17340,0.083
socioprofessionalCategoriesIntermediate,35613,0.056,3488,0.192,9890,0.111,4019,0.176,14245,0.092,3972,0.182
socioprofessionalCategoriesSkilledNonManuals,30002,0.061,445,0.539,23381,0.069,6176,0.140,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,12756,0.099,1221,0.327,10288,0.111,1246,0.323,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,19422,0.079,19422,0.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,627,0.470,NaN,NaN,212,0.789,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,7775,0.127,2856,0.212,2531,0.221,746,0.421,690,0.433,953,0.373
socioprofessionalCategoriesUnemployedOrNotWorking,96370,0.029,41988,0.051,28563,0.062,9839,0.111,6217,0.140,9762,0.113
