attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,256066.0,0.005,0.2341,0.029,0.3771,0.021,0.0974,0.048,0.1174,0.043,0.174,0.034
sexMale,126145.0,0.017,0.1793,0.052,0.4151,0.031,0.0777,0.081,0.1474,0.055,0.1805,0.05
sexFemale,129921.0,0.016,0.2874,0.038,0.3403,0.034,0.1166,0.062,0.0882,0.071,0.1676,0.051
age25_44,90669.0,0.023,0.1498,0.071,0.3567,0.043,0.1042,0.084,0.1234,0.074,0.2659,0.05
age45_64,98258.0,0.02,0.2415,0.049,0.4095,0.036,0.0887,0.082,0.1263,0.067,0.134,0.065
age65+,67139.0,0.026,0.3372,0.049,0.3574,0.047,0.1009,0.093,0.0962,0.095,0.1083,0.089
citizenSwiss,199349.0,0.01,0.1824,0.038,0.4259,0.022,0.0915,0.056,0.1308,0.046,0.1693,0.04
citizenUE28_AELE,45522.0,0.035,0.4104,0.058,0.2153,0.082,0.1196,0.111,0.074,0.139,0.1807,0.088
citizenOtherEuropeanCountries,6082.0,0.113,0.3933,0.184,0.1935,0.262,0.1097,0.339,0.0562,0.479,0.2473,0.22
citizenOtherWorldwideCountries,5093.0,0.116,0.4889,0.168,0.1351,0.325,0.1164,0.339,0.052,0.514,0.2077,0.249
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,168387.0,0.012,0.1676,0.044,0.4469,0.024,0.0869,0.063,0.1357,0.049,0.163,0.045
migratoryBackgroundSwissWith,30051.0,0.043,0.2656,0.087,0.3051,0.081,0.1199,0.129,0.1031,0.138,0.2062,0.097
migratoryBackgroundFirstGeneration,52799.0,0.033,0.4336,0.053,0.1815,0.084,0.1214,0.103,0.0676,0.137,0.1959,0.079
migratoryBackgroundSecondGenerationAndMore,3764.0,0.134,0.1613,0.355,0.543,0.18,0.0736,0.494,0.1031,0.408,0.1188,0.391
migratoryBackgroundUnknown,1064.0,0.243,0.234,0.514,0.4981,0.343,NaN,NaN,0.141,0.635,0.1118,0.719
labourMarketEmployedPersons,150955.0,0.014,0.1699,0.048,0.3874,0.029,0.0884,0.068,0.1405,0.052,0.2138,0.041
labourMarketUnemployedPersons,9008.0,0.087,0.3186,0.158,0.3367,0.149,0.1128,0.263,0.0705,0.324,0.1614,0.215
labourMarketPersonsWithoutProfessionalActivity,96103.0,0.021,0.327,0.042,0.3649,0.039,0.1101,0.075,0.0855,0.085,0.1125,0.075
socioprofessionalCategoriesExecutives,3742.0,0.125,0.0898,0.454,0.1948,0.284,0.0529,0.551,0.2924,0.231,0.3704,0.205
socioprofessionalCategoriesLiberalAndSimilar,3811.0,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.126
socioprofessionalCategoriesOtherSelfEmployed,16162.0,0.06,0.1434,0.164,0.4877,0.087,0.1064,0.192,0.2012,0.137,0.0614,0.253
socioprofessionalCategoriesIntellectualAndManagerial,23781.0,0.049,0.0175,0.39,0.0688,0.192,0.0287,0.298,0.0848,0.173,0.8002,0.055
socioprofessionalCategoriesIntermediate,38697.0,0.037,0.0852,0.14,0.2434,0.08,0.1163,0.117,0.3805,0.063,0.1747,0.097
socioprofessionalCategoriesSkilledNonManuals,31144.0,0.042,0.0228,0.298,0.8222,0.047,0.1551,0.114,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,14819.0,0.064,0.1045,0.202,0.8181,0.071,0.0775,0.245,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,16067.0,0.062,1.0,0.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,274.0,0.511,NaN,NaN,0.635,0.638,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2457.0,0.159,0.3781,0.264,0.3683,0.259,0.0912,0.531,0.0403,0.777,0.1221,0.451
socioprofessionalCategoriesUnemployedOrNotWorking,105111.0,0.019,0.3263,0.04,0.3625,0.037,0.1104,0.072,0.0842,0.082,0.1167,0.07
