attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.2634,0.0,0.3605,0.0,0.0999,0.001,0.1178,0.001,0.1584,0.001
sexMale,1.0,0.0,0.2031,0.001,0.4052,0.0,0.0806,0.001,0.1484,0.001,0.1626,0.001
sexFemale,1.0,0.0,0.3217,0.001,0.3173,0.001,0.1186,0.001,0.0881,0.001,0.1543,0.001
age25_44,1.0,0.0,0.1611,0.001,0.3629,0.001,0.104,0.001,0.1315,0.001,0.2405,0.001
age45_64,1.0,0.0,0.2593,0.001,0.3856,0.001,0.0946,0.001,0.1326,0.001,0.128,0.001
age65+,1.0,0.0,0.4081,0.001,0.3203,0.001,0.1023,0.001,0.0772,0.002,0.0921,0.001
citizenSwiss,1.0,0.0,0.2126,0.0,0.4067,0.0,0.1002,0.001,0.1307,0.001,0.1498,0.001
citizenUE28_AELE,1.0,0.001,0.4251,0.001,0.1934,0.001,0.1049,0.002,0.0808,0.002,0.1958,0.001
citizenOtherEuropeanCountries,1.0,0.002,0.5699,0.002,0.2364,0.003,0.0738,0.006,NaN,NaN,0.0987,0.005
citizenOtherWorldwideCountries,1.0,0.002,0.4998,0.002,0.1717,0.004,0.0731,0.006,0.0365,0.009,0.2187,0.004
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.2009,0.001,0.4255,0.0,0.0964,0.001,0.1328,0.001,0.1445,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.2766,0.001,0.2905,0.001,0.124,0.002,0.1221,0.002,0.1868,0.002
migratoryBackgroundFirstGeneration,1.0,0.0,0.4624,0.001,0.1714,0.001,0.1003,0.002,0.0701,0.002,0.1958,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.002,0.203,0.004,0.5293,0.003,0.0873,0.007,0.0744,0.007,0.1063,0.006
migratoryBackgroundUnknown,1.0,0.004,0.4566,0.005,0.4118,0.005,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.1832,0.001,0.3848,0.0,0.0954,0.001,0.1448,0.001,0.1917,0.001
labourMarketUnemployedPersons,1.0,0.001,0.3411,0.002,0.3162,0.002,0.0914,0.004,0.0787,0.005,0.1725,0.003
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.3903,0.001,0.3238,0.001,0.108,0.001,0.0759,0.001,0.1019,0.001
socioprofessionalCategoriesExecutives,1.0,0.001,0.0945,0.004,0.3167,0.002,0.0838,0.004,0.2117,0.003,0.2933,0.002
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.002
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.1403,0.003,0.4812,0.001,0.1124,0.003,0.2128,0.002,0.0533,0.004
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,0.0154,0.006,0.06,0.003,0.0215,0.005,0.0615,0.003,0.8415,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.1038,0.002,0.2749,0.001,0.1025,0.002,0.3946,0.001,0.1242,0.002
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,0.0111,0.006,0.7949,0.001,0.194,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.071,0.004,0.8158,0.001,0.1133,0.003,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.006,NaN,NaN,0.7213,0.007,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.002,0.388,0.003,0.3496,0.003,0.0492,0.008,NaN,NaN,0.1895,0.004
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3867,0.001,0.3232,0.001,0.1068,0.001,0.0762,0.001,0.1072,0.001
