attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,245346.0,0.008,73270.0,0.036,83870.0,0.032,24849.0,0.068,26149.0,0.066,37209.0,0.055
sexMale,0.4917,0.025,0.3865,0.066,0.5369,0.049,0.4147,0.111,0.6356,0.085,0.5471,0.077
sexFemale,0.5083,0.023,0.6135,0.048,0.4631,0.052,0.5853,0.089,0.3644,0.111,0.4529,0.083
age25_44,0.3598,0.032,0.2279,0.088,0.3677,0.061,0.3781,0.116,0.4164,0.107,0.5497,0.077
age45_64,0.3879,0.029,0.3796,0.064,0.418,0.055,0.4092,0.108,0.4209,0.104,0.2988,0.104
age65+,0.2523,0.039,0.3925,0.062,0.2143,0.079,0.2126,0.15,0.1626,0.168,0.1515,0.147
citizenSwiss,0.7771,0.014,0.6459,0.046,0.8811,0.035,0.805,0.075,0.8284,0.072,0.7462,0.064
citizenUE28_AELE,0.1837,0.051,0.2892,0.077,0.0987,0.125,0.1549,0.187,0.1484,0.186,0.2117,0.132
citizenOtherEuropeanCountries,0.0205,0.181,0.0346,0.255,0.015,0.36,0.0201,0.587,0.0099,0.798,0.013,0.597
citizenOtherWorldwideCountries,0.0185,0.17,0.0303,0.249,0.0051,0.52,0.02,0.506,0.0132,0.615,0.0282,0.35
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6779,0.017,0.5398,0.051,0.8057,0.037,0.6725,0.083,0.7292,0.078,0.6289,0.07
migratoryBackgroundSwissWith,0.0962,0.069,0.1043,0.124,0.0713,0.141,0.1298,0.193,0.0968,0.218,0.1136,0.169
migratoryBackgroundFirstGeneration,0.2098,0.047,0.3497,0.071,0.0972,0.128,0.181,0.175,0.1598,0.18,0.2425,0.123
migratoryBackgroundSecondGenerationAndMore,0.0129,0.199,0.0035,0.686,0.0218,0.262,0.014,0.584,0.0117,0.645,0.0114,0.573
migratoryBackgroundUnknown,0.0033,0.395,0.0027,0.789,0.004,0.613,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6072,0.02,0.4269,0.061,0.6594,0.043,0.604,0.089,0.7622,0.077,0.7376,0.065
labourMarketUnemployedPersons,0.0355,0.122,0.0464,0.2,0.0275,0.236,0.0369,0.385,0.0311,0.406,0.0344,0.322
labourMarketPersonsWithoutProfessionalActivity,0.3573,0.031,0.5266,0.053,0.313,0.064,0.359,0.116,0.2067,0.149,0.228,0.121
socioprofessionalCategoriesExecutives,0.0257,0.14,0.0115,0.388,0.0198,0.273,0.0227,0.476,0.0536,0.302,0.0495,0.258
socioprofessionalCategoriesLiberalAndSimilar,0.0107,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0704,0.219
socioprofessionalCategoriesOtherSelfEmployed,0.055,0.094,0.0344,0.223,0.0739,0.14,0.0642,0.279,0.0981,0.219,0.0164,0.456
socioprofessionalCategoriesIntellectualAndManagerial,0.083,0.076,0.0045,0.614,0.0136,0.331,0.0207,0.483,0.0393,0.347,0.466,0.083
socioprofessionalCategoriesIntermediate,0.1452,0.056,0.0476,0.192,0.1179,0.111,0.1617,0.176,0.5448,0.092,0.1067,0.182
socioprofessionalCategoriesSkilledNonManuals,0.1223,0.061,0.0061,0.539,0.2788,0.069,0.2485,0.14,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.052,0.099,0.0167,0.327,0.1227,0.111,0.0501,0.323,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0792,0.079,0.2651,0.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0026,0.47,NaN,NaN,0.0025,0.789,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0317,0.127,0.039,0.212,0.0302,0.221,0.03,0.421,0.0264,0.433,0.0256,0.373
socioprofessionalCategoriesUnemployedOrNotWorking,0.3928,0.029,0.5731,0.051,0.3406,0.062,0.396,0.111,0.2378,0.14,0.2624,0.113
