attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,91918,0.009,13427,0.064,30005,0.038,8064,0.085,16352,0.056,24070,0.045
sexMale,46412,0.028,5247,0.109,14011,0.063,3033,0.148,10102,0.075,14019,0.064
sexFemale,45506,0.027,8180,0.083,15994,0.056,5031,0.107,6250,0.095,10051,0.074
age25_44,34826,0.036,3308,0.140,9343,0.081,3148,0.146,6228,0.099,12800,0.067
age45_64,37368,0.032,4749,0.113,12869,0.063,2967,0.141,7285,0.087,9498,0.076
age65+,19724,0.049,5370,0.103,7793,0.083,1949,0.173,2839,0.143,1773,0.186
citizenSwiss,66741,0.018,7588,0.085,26078,0.041,5891,0.099,13962,0.061,13222,0.064
citizenUE28_AELE,17582,0.056,3038,0.145,2750,0.152,1442,0.221,2068,0.177,8285,0.085
citizenOtherEuropeanCountries,4275,0.131,1813,0.201,932,0.288,406,0.426,171,0.678,954,0.281
citizenOtherWorldwideCountries,3319,0.135,989,0.252,245,0.510,325,0.439,150,0.634,1610,0.193
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,53849,0.023,5701,0.099,22387,0.046,4385,0.116,11704,0.068,9671,0.077
migratoryBackgroundSwissWith,12555,0.065,1837,0.177,3557,0.128,1472,0.201,2178,0.166,3512,0.128
migratoryBackgroundFirstGeneration,23986,0.047,5716,0.106,3221,0.144,2118,0.181,2217,0.171,10714,0.074
migratoryBackgroundSecondGenerationAndMore,1174,0.240,106,0.779,705,0.310,NaN,NaN,173,0.641,135,0.721
migratoryBackgroundUnknown,355,0.415,NaN,NaN,134,0.673,NaN,NaN,80,0.851,NaN,NaN
labourMarketEmployedPersons,62386,0.020,5629,0.104,18920,0.052,5032,0.111,12840,0.065,19966,0.051
labourMarketUnemployedPersons,2271,0.168,468,0.383,639,0.315,159,0.698,288,0.461,717,0.297
labourMarketPersonsWithoutProfessionalActivity,27261,0.040,7331,0.088,10446,0.071,2873,0.143,3225,0.134,3387,0.132
socioprofessionalCategoriesExecutives,4145,0.120,230,0.530,567,0.326,161,0.637,878,0.261,2309,0.164
socioprofessionalCategoriesLiberalAndSimilar,1830,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1830,0.182
socioprofessionalCategoriesOtherSelfEmployed,5351,0.105,563,0.332,1915,0.175,718,0.306,1751,0.186,405,0.389
socioprofessionalCategoriesIntellectualAndManagerial,12835,0.066,NaN,NaN,336,0.438,123,0.721,895,0.261,11448,0.071
socioprofessionalCategoriesIntermediate,17848,0.054,502,0.355,3697,0.129,1300,0.216,8942,0.080,3406,0.136
socioprofessionalCategoriesSkilledNonManuals,10700,0.072,NaN,NaN,8615,0.081,2036,0.179,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3321,0.139,133,0.722,2767,0.153,420,0.400,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3430,0.135,3430,0.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2855,0.147,634,0.320,1021,0.245,256,0.493,374,0.406,569,0.338
socioprofessionalCategoriesUnemployedOrNotWorking,29532,0.038,7798,0.086,11085,0.069,3031,0.140,3513,0.128,4104,0.120
