attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,93131,0.009,12293,0.067,29786,0.037,8877,0.079,16273,0.055,25902,0.043
sexMale,47138,0.027,4487,0.117,13955,0.061,3397,0.135,9986,0.073,15313,0.059
sexFemale,45993,0.027,7806,0.084,15831,0.055,5480,0.101,6287,0.093,10588,0.073
age25_44,34925,0.036,2624,0.161,9093,0.080,3256,0.140,6099,0.097,13854,0.064
age45_64,37921,0.031,4573,0.115,12318,0.064,3572,0.127,7439,0.084,10019,0.073
age65+,20285,0.047,5096,0.102,8376,0.078,2050,0.162,2735,0.140,2029,0.165
citizenSwiss,67271,0.017,7338,0.084,26296,0.040,6391,0.091,13962,0.059,13283,0.061
citizenUE28_AELE,18226,0.055,2526,0.161,2523,0.159,1862,0.188,1940,0.179,9374,0.080
citizenOtherEuropeanCountries,4288,0.129,1567,0.215,846,0.290,470,0.419,272,0.511,1133,0.251
citizenOtherWorldwideCountries,3331,0.140,847,0.283,120,0.781,154,0.681,98,0.853,2111,0.176
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,55187,0.022,5596,0.097,22726,0.044,4984,0.104,11772,0.065,10108,0.071
migratoryBackgroundSwissWith,11731,0.066,1712,0.181,3428,0.127,1356,0.204,2108,0.163,3127,0.134
migratoryBackgroundFirstGeneration,24586,0.047,4784,0.118,2926,0.150,2302,0.173,2132,0.172,12442,0.069
migratoryBackgroundSecondGenerationAndMore,1235,0.229,149,0.676,564,0.337,168,0.637,178,0.603,176,0.605
migratoryBackgroundUnknown,392,0.389,NaN,NaN,142,0.634,NaN,NaN,82,0.851,NaN,NaN
labourMarketEmployedPersons,61388,0.020,4786,0.114,18568,0.051,5186,0.106,12547,0.064,20301,0.049
labourMarketUnemployedPersons,2503,0.160,307,0.482,665,0.311,NaN,NaN,485,0.354,968,0.260
labourMarketPersonsWithoutProfessionalActivity,29240,0.038,7199,0.087,10553,0.069,3613,0.126,3241,0.130,4634,0.115
socioprofessionalCategoriesExecutives,4140,0.115,120,0.729,508,0.332,155,0.601,1130,0.223,2227,0.157
socioprofessionalCategoriesLiberalAndSimilar,2012,0.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,0.169
socioprofessionalCategoriesOtherSelfEmployed,5420,0.102,285,0.466,2346,0.157,606,0.313,1708,0.183,475,0.364
socioprofessionalCategoriesIntellectualAndManagerial,13534,0.063,NaN,NaN,369,0.397,150,0.634,685,0.286,12278,0.067
socioprofessionalCategoriesIntermediate,16987,0.054,425,0.382,3296,0.132,1437,0.200,8835,0.078,2993,0.142
socioprofessionalCategoriesSkilledNonManuals,10874,0.070,NaN,NaN,8559,0.079,2249,0.166,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3358,0.132,NaN,NaN,2903,0.142,422,0.383,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3299,0.139,3299,0.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1691,0.187,485,0.362,554,0.322,147,0.635,190,0.549,315,0.437
socioprofessionalCategoriesUnemployedOrNotWorking,31743,0.036,7506,0.086,11218,0.067,3692,0.125,3726,0.122,5601,0.105
