attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,90630.0,0.009,0.146,0.064,0.3277,0.038,0.086,0.086,0.1788,0.056,0.2615,0.046
sexMale,45804.0,0.028,0.1103,0.113,0.293,0.063,0.0704,0.14,0.2305,0.072,0.2957,0.064
sexFemale,44826.0,0.027,0.1824,0.082,0.3631,0.055,0.1019,0.112,0.1259,0.101,0.2267,0.075
age25_44,34607.0,0.036,0.0963,0.143,0.2706,0.08,0.0858,0.149,0.1696,0.101,0.3778,0.067
age45_64,36788.0,0.032,0.1383,0.106,0.3419,0.064,0.0843,0.136,0.2019,0.087,0.2336,0.08
age65+,19235.0,0.049,0.2501,0.108,0.4031,0.083,0.0898,0.183,0.1512,0.14,0.1057,0.17
citizenSwiss,66071.0,0.017,0.116,0.084,0.3919,0.041,0.0863,0.1,0.2107,0.061,0.195,0.064
citizenUE28_AELE,17061.0,0.058,0.1712,0.149,0.1526,0.159,0.0828,0.215,0.1033,0.192,0.4902,0.087
citizenOtherEuropeanCountries,4426.0,0.127,0.4001,0.201,0.1995,0.289,0.12,0.376,0.0667,0.515,0.2135,0.275
citizenOtherWorldwideCountries,3054.0,0.144,0.2793,0.283,0.1035,0.457,0.0485,0.639,0.074,0.539,0.4948,0.204
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,54253.0,0.022,0.1024,0.099,0.4104,0.045,0.0793,0.116,0.219,0.067,0.1888,0.073
migratoryBackgroundSwissWith,11511.0,0.068,0.1761,0.169,0.3084,0.127,0.1176,0.208,0.1698,0.175,0.228,0.148
migratoryBackgroundFirstGeneration,23391.0,0.048,0.2321,0.11,0.139,0.144,0.0856,0.182,0.0876,0.179,0.4557,0.076
migratoryBackgroundSecondGenerationAndMore,1149.0,0.247,0.1158,0.674,0.4787,0.356,NaN,NaN,0.2045,0.55,0.121,0.726
migratoryBackgroundUnknown,327.0,0.426,0.2477,0.851,0.2477,0.853,NaN,NaN,0.2569,0.854,NaN,NaN
labourMarketEmployedPersons,60565.0,0.021,0.1025,0.099,0.3029,0.052,0.0783,0.112,0.205,0.066,0.3113,0.053
labourMarketUnemployedPersons,2531.0,0.159,0.1407,0.44,0.3125,0.288,0.0913,0.511,0.113,0.465,0.3422,0.276
labourMarketPersonsWithoutProfessionalActivity,27534.0,0.04,0.242,0.092,0.3835,0.07,0.1026,0.146,0.1273,0.128,0.1446,0.121
socioprofessionalCategoriesExecutives,3786.0,0.128,0.0626,0.529,0.1841,0.294,0.0351,0.673,0.1867,0.303,0.5314,0.179
socioprofessionalCategoriesLiberalAndSimilar,1965.0,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.174
socioprofessionalCategoriesOtherSelfEmployed,5119.0,0.106,0.1123,0.327,0.4278,0.163,0.0928,0.373,0.3288,0.187,0.0383,0.553
socioprofessionalCategoriesIntellectualAndManagerial,12877.0,0.066,NaN,NaN,0.033,0.373,0.0121,0.638,0.0779,0.245,0.8724,0.072
socioprofessionalCategoriesIntermediate,17350.0,0.055,0.0345,0.323,0.2013,0.131,0.0839,0.205,0.4986,0.081,0.1817,0.142
socioprofessionalCategoriesSkilledNonManuals,9858.0,0.075,NaN,NaN,0.8105,0.084,0.1832,0.184,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3391.0,0.135,0.049,0.602,0.8402,0.148,0.1109,0.417,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3594.0,0.133,1.0,0.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,95.0,0.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2529.0,0.157,0.3547,0.268,0.2716,0.297,0.1336,0.426,0.1467,0.422,0.0929,0.53
socioprofessionalCategoriesUnemployedOrNotWorking,30065.0,0.037,0.2335,0.09,0.3775,0.068,0.1016,0.14,0.1261,0.123,0.1613,0.11
