attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1264,0.001,0.2736,0.0,0.0799,0.001,0.2109,0.0,0.3093,0.0
sexMale,1.0,0.0,0.0971,0.001,0.2422,0.001,0.0628,0.001,0.2363,0.001,0.3615,0.001
sexFemale,1.0,0.0,0.1565,0.001,0.3058,0.001,0.0974,0.001,0.1847,0.001,0.2556,0.001
age25_44,1.0,0.0,0.0713,0.002,0.2261,0.001,0.0777,0.002,0.202,0.001,0.4228,0.001
age45_64,1.0,0.0,0.1259,0.001,0.2534,0.001,0.0755,0.001,0.2407,0.001,0.3045,0.001
age65+,1.0,0.0,0.2176,0.001,0.3876,0.001,0.0914,0.002,0.1715,0.001,0.1319,0.001
citizenSwiss,1.0,0.0,0.0985,0.001,0.3277,0.0,0.0766,0.001,0.2593,0.001,0.2378,0.001
citizenUE28_AELE,1.0,0.001,0.1507,0.002,0.1395,0.002,0.0989,0.002,0.1033,0.002,0.5076,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.3092,0.002,0.1551,0.003,0.0702,0.004,0.0612,0.005,0.4043,0.002
citizenOtherWorldwideCountries,1.0,0.001,0.2313,0.003,0.0822,0.005,0.0685,0.006,0.056,0.006,0.5617,0.002
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.0884,0.001,0.3453,0.001,0.0688,0.001,0.2749,0.001,0.2225,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.136,0.002,0.2564,0.001,0.1078,0.002,0.1897,0.002,0.3101,0.001
migratoryBackgroundFirstGeneration,1.0,0.0,0.1978,0.001,0.1195,0.001,0.0908,0.002,0.0802,0.002,0.5117,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.002,0.1912,0.005,0.4375,0.003,NaN,NaN,0.2199,0.005,0.111,0.006
migratoryBackgroundUnknown,1.0,0.004,0.3,0.007,NaN,NaN,NaN,NaN,0.3375,0.007,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.0822,0.001,0.2391,0.001,0.0729,0.001,0.239,0.001,0.3668,0.0
labourMarketUnemployedPersons,1.0,0.001,0.1443,0.004,0.243,0.003,0.046,0.007,0.1636,0.003,0.4028,0.002
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.2148,0.001,0.3471,0.001,0.0977,0.001,0.1585,0.001,0.1821,0.001
socioprofessionalCategoriesExecutives,1.0,0.002,0.0519,0.007,0.0567,0.006,NaN,NaN,0.1427,0.004,0.7209,0.002
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.002
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.0517,0.005,0.333,0.002,0.0934,0.003,0.4331,0.002,0.0888,0.003
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,NaN,NaN,0.0372,0.003,0.0143,0.005,0.1129,0.002,0.8336,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0426,0.003,0.1297,0.002,0.0914,0.002,0.5277,0.001,0.2085,0.001
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,0.0322,0.005,0.8145,0.001,0.1533,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0818,0.005,0.7364,0.002,0.1814,0.003,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.003,0.2508,0.006,0.2324,0.006,NaN,NaN,0.2003,0.007,0.2676,0.006
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.2081,0.001,0.3372,0.001,0.0927,0.001,0.1589,0.001,0.2031,0.001
