attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,90630.0,0.009,13228.0,0.064,29697.0,0.038,7796.0,0.086,16205.0,0.056,23704.0,0.046
sexMale,0.5054,0.028,0.3819,0.113,0.452,0.063,0.4138,0.14,0.6517,0.072,0.5713,0.064
sexFemale,0.4946,0.027,0.6181,0.082,0.548,0.055,0.5862,0.112,0.3483,0.101,0.4287,0.075
age25_44,0.3818,0.036,0.2518,0.143,0.3154,0.08,0.3807,0.149,0.3621,0.101,0.5516,0.067
age45_64,0.4059,0.032,0.3846,0.106,0.4235,0.064,0.3976,0.136,0.4584,0.087,0.3626,0.08
age65+,0.2122,0.049,0.3636,0.108,0.2611,0.083,0.2217,0.183,0.1795,0.14,0.0858,0.17
citizenSwiss,0.729,0.017,0.5795,0.084,0.872,0.041,0.7315,0.1,0.8591,0.061,0.5435,0.064
citizenUE28_AELE,0.1882,0.058,0.2207,0.149,0.0877,0.159,0.1812,0.215,0.1087,0.192,0.3528,0.087
citizenOtherEuropeanCountries,0.0488,0.127,0.1339,0.201,0.0297,0.289,0.0681,0.376,0.0182,0.515,0.0399,0.275
citizenOtherWorldwideCountries,0.0337,0.144,0.0645,0.283,0.0106,0.457,0.019,0.639,0.0139,0.539,0.0637,0.204
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.5986,0.022,0.4202,0.099,0.7497,0.045,0.5521,0.116,0.7333,0.067,0.4322,0.073
migratoryBackgroundSwissWith,0.127,0.068,0.1532,0.169,0.1195,0.127,0.1737,0.208,0.1206,0.175,0.1107,0.148
migratoryBackgroundFirstGeneration,0.2581,0.048,0.4104,0.11,0.1095,0.144,0.2568,0.182,0.1264,0.179,0.4497,0.076
migratoryBackgroundSecondGenerationAndMore,0.0127,0.247,0.0101,0.674,0.0185,0.356,NaN,NaN,0.0145,0.55,0.0059,0.726
migratoryBackgroundUnknown,0.0036,0.426,0.0061,0.851,0.0027,0.853,NaN,NaN,0.0052,0.854,NaN,NaN
labourMarketEmployedPersons,0.6683,0.021,0.4693,0.099,0.6178,0.052,0.608,0.112,0.7661,0.066,0.7954,0.053
labourMarketUnemployedPersons,0.0279,0.159,0.0269,0.44,0.0266,0.288,0.0296,0.511,0.0176,0.465,0.0365,0.276
labourMarketPersonsWithoutProfessionalActivity,0.3038,0.04,0.5037,0.092,0.3556,0.07,0.3624,0.146,0.2162,0.128,0.168,0.121
socioprofessionalCategoriesExecutives,0.0418,0.128,0.0179,0.529,0.0235,0.294,0.0171,0.673,0.0436,0.303,0.0849,0.179
socioprofessionalCategoriesLiberalAndSimilar,0.0217,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0829,0.174
socioprofessionalCategoriesOtherSelfEmployed,0.0565,0.106,0.0435,0.327,0.0737,0.163,0.0609,0.373,0.1039,0.187,0.0083,0.553
socioprofessionalCategoriesIntellectualAndManagerial,0.1421,0.066,NaN,NaN,0.0143,0.373,0.02,0.638,0.0619,0.245,0.4739,0.072
socioprofessionalCategoriesIntermediate,0.1914,0.055,0.0452,0.323,0.1176,0.131,0.1866,0.205,0.5338,0.081,0.133,0.142
socioprofessionalCategoriesSkilledNonManuals,0.1088,0.075,NaN,NaN,0.2691,0.084,0.2317,0.184,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0374,0.135,0.0125,0.602,0.0959,0.148,0.0482,0.417,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0397,0.133,0.2717,0.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.001,0.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0279,0.157,0.0678,0.268,0.0231,0.297,0.0434,0.426,0.0229,0.422,0.0099,0.53
socioprofessionalCategoriesUnemployedOrNotWorking,0.3317,0.037,0.5307,0.09,0.3822,0.068,0.392,0.14,0.2339,0.123,0.2045,0.11
