attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1090744,0.003,175738,0.024,364369,0.015,102156,0.032,165533,0.024,282948,0.017
sexMale,537324,0.011,70753,0.040,169944,0.024,41502,0.052,100825,0.032,154300,0.024
sexFemale,553420,0.010,104984,0.032,194425,0.022,60655,0.041,64708,0.040,128648,0.026
age25_44,455635,0.013,55474,0.046,116993,0.030,44416,0.050,65613,0.041,173140,0.022
age45_64,398064,0.014,63401,0.042,142992,0.026,34953,0.055,69708,0.039,87009,0.033
age65+,237045,0.019,56862,0.042,104383,0.030,22787,0.067,30213,0.058,22799,0.065
citizenSwiss,794497,0.007,91180,0.033,312910,0.016,72283,0.037,140082,0.026,178043,0.022
citizenUE28_AELE,203716,0.022,41863,0.051,38469,0.055,20193,0.076,20927,0.075,82265,0.034
citizenOtherEuropeanCountries,48949,0.054,25931,0.075,8475,0.133,5457,0.163,2373,0.243,6714,0.141
citizenOtherWorldwideCountries,43502,0.051,16742,0.084,4515,0.161,4203,0.169,2152,0.228,15890,0.083
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,604945,0.009,53306,0.044,252130,0.018,49985,0.045,113989,0.030,135535,0.026
migratoryBackgroundSwissWith,185402,0.022,36982,0.051,58754,0.042,22019,0.068,25351,0.064,42295,0.047
migratoryBackgroundFirstGeneration,277288,0.018,81499,0.038,42454,0.053,28330,0.065,22200,0.073,102806,0.031
migratoryBackgroundSecondGenerationAndMore,17977,0.083,2294,0.237,8906,0.119,1481,0.292,3218,0.198,2077,0.235
migratoryBackgroundUnknown,5133,0.145,1656,0.256,2125,0.226,341,0.556,775,0.376,235,0.635
labourMarketEmployedPersons,731023,0.008,82445,0.037,222515,0.020,65031,0.041,125788,0.028,235245,0.019
labourMarketUnemployedPersons,35590,0.056,7741,0.128,10383,0.107,3459,0.187,4088,0.165,9919,0.103
labourMarketPersonsWithoutProfessionalActivity,324131,0.016,85551,0.035,131471,0.027,33667,0.056,35658,0.054,37785,0.052
socioprofessionalCategoriesENaNecutives,37658,0.053,3002,0.199,5657,0.141,2494,0.218,8448,0.116,18057,0.075
socioprofessionalCategoriesLiberalAndSimilar,18623,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18623,0.073
socioprofessionalCategoriesOtherSelfEmployed,55158,0.044,6518,0.133,22818,0.070,6554,0.127,14031,0.088,5237,0.135
socioprofessionalCategoriesIntellectualAndManagerial,161289,0.023,729,0.404,5629,0.144,2133,0.230,8380,0.116,144419,0.025
socioprofessionalCategoriesIntermediate,196648,0.022,8283,0.119,40511,0.053,15940,0.084,91091,0.034,40824,0.050
socioprofessionalCategoriesSkilledNonManuals,137095,0.027,1053,0.321,107783,0.031,28259,0.062,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,37583,0.056,1955,0.250,30437,0.063,5191,0.156,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,49244,0.048,49244,0.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1824,0.268,799,0.423,418,0.532,245,0.737,NaN,NaN,225,0.690
socioprofessionalCategoriesNotAttributable,35900,0.055,10863,0.105,9261,0.111,4215,0.166,3700,0.173,7860,0.112
socioprofessionalCategoriesUnemployedOrNotWorking,359721,0.015,93292,0.033,141854,0.026,37125,0.053,39745,0.051,47704,0.046
