attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1143880,0.003,164743,0.027,317403,0.017,100768,0.035,216964,0.022,344002,0.016
sexMale,565189,0.011,68160,0.044,145773,0.028,45459,0.053,119812,0.030,185986,0.024
sexFemale,578691,0.011,96583,0.036,171630,0.025,55309,0.047,97152,0.034,158017,0.026
age25_44,477137,0.013,49854,0.053,108265,0.034,40021,0.058,75155,0.040,203843,0.023
age45_64,415007,0.014,63699,0.045,112662,0.032,37083,0.058,92217,0.035,109346,0.032
age65+,251736,0.020,51190,0.049,96477,0.034,23664,0.071,49592,0.048,30813,0.061
citizenSwiss,823404,0.007,81723,0.038,268008,0.019,67439,0.042,188150,0.023,218083,0.021
citizenUE28_AELE,212578,0.023,41681,0.057,34699,0.062,22766,0.077,22018,0.076,91415,0.036
citizenOtherEuropeanCountries,57840,0.051,23642,0.081,9871,0.126,6449,0.156,3736,0.202,14142,0.102
citizenOtherWorldwideCountries,49937,0.052,17653,0.089,4825,0.173,4070,0.187,3060,0.211,20329,0.081
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,601701,0.010,42252,0.054,205811,0.022,44151,0.052,151068,0.026,158419,0.026
migratoryBackgroundSwissWith,216409,0.022,38421,0.056,60057,0.045,22965,0.073,35835,0.058,59130,0.044
migratoryBackgroundFirstGeneration,301746,0.019,79859,0.041,41222,0.057,32024,0.066,24669,0.073,123972,0.031
migratoryBackgroundSecondGenerationAndMore,17815,0.088,2860,0.224,7997,0.132,1195,0.338,3930,0.185,1834,0.275
migratoryBackgroundUnknown,6209,0.144,1352,0.310,2316,0.235,433,0.559,1461,0.292,647,0.446
labourMarketEmployedPersons,754303,0.008,76135,0.041,186641,0.024,58903,0.046,151353,0.027,281272,0.018
labourMarketUnemployedPersons,41010,0.057,7558,0.138,10162,0.116,5111,0.167,5502,0.154,12677,0.103
labourMarketPersonsWithoutProfessionalActivity,348566,0.016,81050,0.039,120600,0.030,36754,0.058,60109,0.044,50053,0.049
socioprofessionalCategoriesExecutives,26593,0.067,1520,0.300,2799,0.212,1149,0.327,4743,0.161,16382,0.085
socioprofessionalCategoriesLiberalAndSimilar,27424,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27424,0.066
socioprofessionalCategoriesOtherSelfEmployed,64974,0.043,8448,0.127,22245,0.075,7505,0.132,22220,0.074,4555,0.169
socioprofessionalCategoriesIntellectualAndManagerial,200267,0.023,776,0.414,7770,0.126,3011,0.203,15403,0.088,173307,0.024
socioprofessionalCategoriesIntermediate,226861,0.021,10368,0.114,32104,0.062,20724,0.078,107567,0.032,56099,0.047
socioprofessionalCategoriesSkilledNonManuals,113826,0.032,3467,0.195,91625,0.036,18734,0.083,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,37474,0.059,3165,0.203,27618,0.069,6691,0.144,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,44695,0.054,44695,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1375,0.334,529,0.543,399,0.614,213,0.872,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,10814,0.111,3166,0.208,2082,0.252,875,0.380,1302,0.310,3389,0.200
socioprofessionalCategoriesUnemployedOrNotWorking,389577,0.015,88608,0.038,130761,0.029,41865,0.055,65611,0.042,62730,0.044
