attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1131985,0.004,0.145,0.027,0.3215,0.016,0.0946,0.034,0.1492,0.025,0.2898,0.017
sexMale,558739,0.012,0.1173,0.046,0.3053,0.026,0.0814,0.055,0.1778,0.034,0.3182,0.025
sexFemale,573246,0.011,0.1719,0.035,0.3372,0.023,0.1074,0.044,0.1214,0.041,0.2621,0.027
age25_44,473184,0.014,0.1021,0.055,0.2442,0.033,0.0971,0.055,0.1414,0.043,0.4152,0.023
age45_64,410884,0.014,0.1489,0.046,0.3412,0.028,0.085,0.06,0.1737,0.04,0.2511,0.033
age65+,247917,0.02,0.2201,0.046,0.4363,0.032,0.1057,0.067,0.1234,0.061,0.1145,0.064
citizenSwiss,817484,0.007,0.1057,0.037,0.3791,0.017,0.0895,0.04,0.1756,0.027,0.2501,0.022
citizenUE28_AELE,217480,0.023,0.1802,0.059,0.1781,0.059,0.1093,0.077,0.0929,0.081,0.4395,0.036
citizenOtherEuropeanCountries,48506,0.056,0.4784,0.082,0.1961,0.128,0.1056,0.177,0.0549,0.242,0.1649,0.137
citizenOtherWorldwideCountries,48282,0.055,0.3139,0.101,0.1176,0.166,0.1033,0.175,0.052,0.248,0.4132,0.085
citizenUnknown,232,0.887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,605657,0.01,0.0786,0.05,0.4012,0.02,0.0821,0.049,0.1888,0.031,0.2493,0.027
migratoryBackgroundSwissWith,205521,0.023,0.1823,0.057,0.3128,0.043,0.1115,0.073,0.1379,0.065,0.2555,0.047
migratoryBackgroundFirstGeneration,295979,0.019,0.2557,0.043,0.1496,0.056,0.108,0.067,0.0771,0.078,0.4097,0.032
migratoryBackgroundSecondGenerationAndMore,17911,0.089,0.0952,0.29,0.5345,0.122,0.1073,0.275,0.1337,0.238,0.1294,0.245
migratoryBackgroundUnknown,6917,0.135,0.2368,0.277,0.399,0.212,0.0784,0.487,0.1469,0.356,0.1389,0.362
labourMarketEmployedPersons,758376,0.008,0.0988,0.042,0.2907,0.022,0.0861,0.044,0.1696,0.03,0.3548,0.019
labourMarketUnemployedPersons,33116,0.065,0.1815,0.159,0.2565,0.13,0.1037,0.209,0.1226,0.182,0.3358,0.112
labourMarketPersonsWithoutProfessionalActivity,340493,0.016,0.2442,0.038,0.3963,0.029,0.1126,0.057,0.1064,0.058,0.1405,0.051
socioprofessionalCategoriesENaNecutives,43187,0.053,0.0741,0.213,0.1374,0.145,0.0509,0.246,0.2412,0.108,0.4965,0.075
socioprofessionalCategoriesLiberalAndSimilar,21179,0.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.076
socioprofessionalCategoriesOtherSelfEmployed,56222,0.047,0.1026,0.154,0.4091,0.074,0.1108,0.145,0.2756,0.089,0.1019,0.152
socioprofessionalCategoriesIntellectualAndManagerial,183552,0.024,0.0029,0.503,0.0251,0.165,0.0108,0.256,0.044,0.124,0.9171,0.025
socioprofessionalCategoriesIntermediate,207327,0.023,0.0508,0.116,0.2009,0.055,0.0777,0.089,0.4461,0.036,0.2245,0.053
socioprofessionalCategoriesSkilledNonManuals,135888,0.029,0.0046,0.458,0.7786,0.033,0.2168,0.067,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,41469,0.057,0.0462,0.264,0.7971,0.063,0.1567,0.15,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,46276,0.054,1.0,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1067,0.383,0.3974,0.621,0.209,0.791,0.3468,0.647,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,22208,0.078,0.255,0.16,0.2792,0.146,0.1104,0.242,0.0955,0.247,0.2599,0.154
socioprofessionalCategoriesUnemployedOrNotWorking,373609,0.016,0.2387,0.037,0.3839,0.028,0.1118,0.055,0.1078,0.055,0.1578,0.046
