attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.144,0.0,0.2775,0.0,0.0881,0.0,0.1897,0.0,0.3007,0.0
sexMale,1.0,0.0,0.1206,0.0,0.2579,0.0,0.0804,0.001,0.212,0.0,0.3291,0.0
sexFemale,1.0,0.0,0.1669,0.0,0.2966,0.0,0.0956,0.0,0.1679,0.0,0.2731,0.0
age25_44,1.0,0.0,0.1045,0.001,0.2269,0.0,0.0839,0.001,0.1575,0.0,0.4272,0.0
age45_64,1.0,0.0,0.1535,0.0,0.2715,0.0,0.0894,0.001,0.2222,0.0,0.2635,0.0
age65+,1.0,0.0,0.2033,0.0,0.3832,0.0,0.094,0.001,0.197,0.0,0.1224,0.001
citizenSwiss,1.0,0.0,0.0993,0.0,0.3255,0.0,0.0819,0.0,0.2285,0.0,0.2649,0.0
citizenUE28_AELE,1.0,0.0,0.1961,0.001,0.1632,0.001,0.1071,0.001,0.1036,0.001,0.43,0.0
citizenOtherEuropeanCountries,1.0,0.001,0.4087,0.001,0.1707,0.001,0.1115,0.002,0.0646,0.002,0.2445,0.001
citizenOtherWorldwideCountries,1.0,0.001,0.3535,0.001,0.0966,0.002,0.0815,0.002,0.0613,0.002,0.4071,0.001
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.0702,0.001,0.342,0.0,0.0734,0.001,0.2511,0.0,0.2633,0.0
migratoryBackgroundSwissWith,1.0,0.0,0.1775,0.001,0.2775,0.0,0.1061,0.001,0.1656,0.001,0.2732,0.0
migratoryBackgroundFirstGeneration,1.0,0.0,0.2647,0.0,0.1366,0.001,0.1061,0.001,0.0818,0.001,0.4108,0.0
migratoryBackgroundSecondGenerationAndMore,1.0,0.001,0.1605,0.002,0.4489,0.001,0.0671,0.003,0.2206,0.002,0.1029,0.003
migratoryBackgroundUnknown,1.0,0.001,0.2177,0.003,0.373,0.002,0.0697,0.006,0.2353,0.003,0.1042,0.004
labourMarketEmployedPersons,1.0,0.0,0.1009,0.0,0.2474,0.0,0.0781,0.0,0.2007,0.0,0.3729,0.0
labourMarketUnemployedPersons,1.0,0.001,0.1843,0.001,0.2478,0.001,0.1246,0.002,0.1342,0.002,0.3091,0.001
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.2325,0.0,0.346,0.0,0.1054,0.001,0.1724,0.0,0.1436,0.0
socioprofessionalCategoriesExecutives,1.0,0.001,0.0572,0.003,0.1053,0.002,0.0432,0.003,0.1784,0.002,0.616,0.001
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.001
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.0,0.13,0.001,0.3424,0.001,0.1155,0.001,0.342,0.001,0.0701,0.002
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.0,0.0039,0.004,0.0388,0.001,0.015,0.002,0.0769,0.001,0.8654,0.0
socioprofessionalCategoriesIntermediate,1.0,0.0,0.0457,0.001,0.1415,0.001,0.0914,0.001,0.4742,0.0,0.2473,0.0
socioprofessionalCategoriesSkilledNonManuals,1.0,0.0,0.0305,0.002,0.805,0.0,0.1646,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0845,0.002,0.737,0.001,0.1786,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.003,0.3847,0.005,0.2902,0.006,0.1549,0.009,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.001,0.2928,0.002,0.1925,0.003,0.0809,0.004,0.1204,0.003,0.3134,0.002
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.2274,0.0,0.3356,0.0,0.1075,0.001,0.1684,0.0,0.161,0.0
