attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1104284.0,0.004,173748.0,0.026,358389.0,0.015,103991.0,0.034,166364.0,0.025,301792.0,0.018
sexMale,0.4928,0.012,0.3994,0.043,0.4777,0.025,0.4048,0.055,0.5984,0.034,0.5365,0.026
sexFemale,0.5072,0.011,0.6006,0.034,0.5223,0.023,0.5952,0.044,0.4016,0.041,0.4635,0.028
age25_44,0.4176,0.014,0.3103,0.051,0.3161,0.033,0.4287,0.054,0.3975,0.043,0.607,0.024
age45_64,0.3641,0.014,0.3674,0.044,0.3908,0.028,0.3479,0.058,0.4154,0.041,0.3079,0.035
age65+,0.2183,0.02,0.3223,0.045,0.2931,0.032,0.2235,0.07,0.1871,0.06,0.0851,0.066
citizenSwiss,0.7262,0.007,0.512,0.035,0.8568,0.017,0.7094,0.039,0.8508,0.027,0.6314,0.023
citizenUE28_AELE,0.1881,0.023,0.2406,0.056,0.106,0.058,0.203,0.08,0.1212,0.081,0.2871,0.038
citizenOtherEuropeanCountries,0.0445,0.056,0.1468,0.078,0.0264,0.129,0.0463,0.182,0.0148,0.259,0.0229,0.153
citizenOtherWorldwideCountries,0.041,0.056,0.0998,0.092,0.0107,0.195,0.041,0.183,0.0129,0.26,0.0586,0.09
citizenUnknown,0.0003,0.689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.5474,0.01,0.2928,0.047,0.6849,0.02,0.4984,0.047,0.6848,0.031,0.4718,0.028
migratoryBackgroundSwissWith,0.1751,0.023,0.2144,0.056,0.1671,0.044,0.2071,0.074,0.1614,0.066,0.1584,0.049
migratoryBackgroundFirstGeneration,0.2575,0.02,0.4699,0.041,0.1195,0.056,0.2763,0.07,0.1314,0.079,0.3621,0.034
migratoryBackgroundSecondGenerationAndMore,0.0157,0.088,0.0152,0.229,0.0234,0.127,0.0139,0.308,0.0176,0.217,0.0065,0.262
migratoryBackgroundUnknown,0.0043,0.161,0.0076,0.307,0.0051,0.256,0.0044,0.52,0.0048,0.395,0.0012,0.613
labourMarketEmployedPersons,0.6786,0.008,0.479,0.039,0.614,0.022,0.6429,0.043,0.7662,0.03,0.8343,0.02
labourMarketUnemployedPersons,0.0261,0.068,0.0351,0.153,0.0225,0.128,0.0286,0.214,0.0189,0.203,0.0282,0.125
labourMarketPersonsWithoutProfessionalActivity,0.2953,0.016,0.4859,0.037,0.3635,0.028,0.3285,0.059,0.2148,0.056,0.1375,0.054
socioprofessionalCategoriesENaNecutives,0.0333,0.058,0.0173,0.213,0.0142,0.156,0.0241,0.229,0.0463,0.126,0.0612,0.082
socioprofessionalCategoriesLiberalAndSimilar,0.0181,0.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0662,0.078
socioprofessionalCategoriesOtherSelfEmployed,0.0524,0.045,0.0326,0.151,0.0647,0.072,0.0654,0.135,0.101,0.085,0.0178,0.154
socioprofessionalCategoriesIntellectualAndManagerial,0.1559,0.025,0.0047,0.406,0.0137,0.16,0.0218,0.239,0.0493,0.123,0.5167,0.027
socioprofessionalCategoriesIntermediate,0.183,0.023,0.048,0.127,0.1188,0.054,0.1578,0.088,0.5494,0.036,0.1436,0.054
socioprofessionalCategoriesSkilledNonManuals,0.1206,0.029,0.0049,0.387,0.2879,0.033,0.2807,0.066,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0349,0.058,0.0126,0.244,0.0853,0.065,0.055,0.155,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.045,0.051,0.2863,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0012,0.333,0.0047,0.424,0.0006,0.791,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0343,0.058,0.068,0.106,0.0287,0.11,0.0368,0.185,0.0203,0.195,0.0283,0.125
socioprofessionalCategoriesUnemployedOrNotWorking,0.3214,0.016,0.521,0.036,0.386,0.027,0.3571,0.057,0.2338,0.054,0.1657,0.049
