region,total,german,french,italian,romansh,english,portuguese,serbian&croatian,albanian,spanish,turkish,otherLanguages
AG,565764,488081,12066,29033,1035,30186,9045,19654,23320,7938,9037,33521
AI,13353,12616,NaN,212,NaN,638,NaN,195,NaN,177,NaN,365
AR,45961,42230,382,1167,NaN,1748,723,1596,499,322,255,1680
BE,866007,723378,96409,28884,780,40384,14094,13019,17819,14343,6584,48009
BL,242458,209687,8787,13258,290,16727,3260,5054,4660,4225,5662,15486
BS,163051,123699,9552,9373,243,19961,3935,5275,5270,5715,5862,15752
FR,259778,70332,178881,6052,NaN,9413,20919,2222,6196,5369,2020,10273
GE,385289,17406,307899,25527,209,48204,36214,3713,8789,30967,2350,34066
GL,33924,29379,346,1884,NaN,1176,943,682,1394,481,543,1553
GR,169268,125948,3019,23424,26091,6169,7368,3357,1341,1498,519,6897
JU,61140,3887,55411,1751,NaN,1380,1633,352,898,1841,342,1441
LU,339232,300063,5838,10401,523,16082,7426,10977,11729,4518,1708,17696
NE,146334,7166,128456,8475,101,6223,12889,1824,1968,4038,996,6541
NW,36682,33566,442,882,NaN,2022,629,869,398,653,NaN,1118
OW,31548,28804,246,464,NaN,1563,964,555,587,262,NaN,1117
SG,422600,370180,5073,14307,1226,17407,5363,17172,18152,5177,4934,23239
SH,69088,60424,815,3116,NaN,3874,654,3053,2128,878,1069,4443
SO,230273,202648,5959,10914,171,9910,2534,5648,8614,3354,5162,13176
SZ,133326,119088,2794,4612,395,9306,1806,4136,2882,1754,725,6373
TG,230783,205744,2985,9244,302,8426,4745,5699,9264,2497,2617,11557
TI,300912,32183,15209,264604,338,11678,8064,7886,3275,6903,1151,10748
UR,30246,27912,288,1039,NaN,746,768,551,273,251,285,779
VD,652435,38398,537068,35300,288,59460,54140,11130,15024,26222,3594,44526
VS,287519,71978,192742,12694,NaN,11998,22869,4453,4451,5059,641,10196
ZG,105326,85092,3769,4249,243,13322,2283,3595,1663,2432,1124,8402
ZH,1261771,1024114,43263,73246,3849,119421,32060,37514,44056,36178,17830,104954
CH,7084068,4454003,1617735,594115,36707,467423,255356,170180,194742,173054,75159,433908
