region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,1.0,496839.0,0.004,11676.0,0.072,30716.0,0.045,630.0,0.305,32195.0,0.044,10193.0,0.081,19319.0,0.058,24472.0,0.054,9852.0,0.081,9844.0,0.083,38054.0,0.041
AI,1.0,12604.0,0.028,183.0,0.796,NaN,NaN,NaN,NaN,346.0,0.613,NaN,NaN,303.0,0.646,NaN,NaN,NaN,NaN,NaN,NaN,328.0,0.688
AR,1.0,41888.0,0.017,461.0,0.517,889.0,0.37,205.0,0.741,1785.0,0.259,400.0,0.593,1294.0,0.315,617.0,0.488,736.0,0.41,188.0,0.865,2224.0,0.245
BE,1.0,725073.0,0.005,93589.0,0.034,27859.0,0.064,1039.0,0.335,39585.0,0.053,16195.0,0.088,13119.0,0.096,19333.0,0.083,14087.0,0.09,6869.0,0.135,49660.0,0.049
BL,1.0,211530.0,0.009,7954.0,0.121,13198.0,0.097,354.0,0.584,17270.0,0.084,2516.0,0.227,5213.0,0.158,5200.0,0.166,5357.0,0.156,5669.0,0.151,16093.0,0.088
BS,1.0,123646.0,0.016,8312.0,0.122,9625.0,0.113,184.0,0.873,19173.0,0.08,3720.0,0.19,4913.0,0.163,4221.0,0.186,6454.0,0.143,6778.0,0.139,16708.0,0.088
FR,1.0,69618.0,0.036,182267.0,0.015,6856.0,0.135,NaN,NaN,9116.0,0.116,20338.0,0.078,2151.0,0.245,6555.0,0.146,4922.0,0.162,2097.0,0.249,10998.0,0.108
GE,1.0,15169.0,0.063,308464.0,0.007,23769.0,0.052,242.0,0.539,47376.0,0.036,36536.0,0.042,3743.0,0.137,9415.0,0.091,30839.0,0.046,2763.0,0.159,34516.0,0.044
GL,1.0,29026.0,0.028,278.0,0.684,2143.0,0.247,NaN,NaN,1133.0,0.366,1284.0,0.325,911.0,0.397,1265.0,0.34,355.0,0.614,267.0,0.732,2046.0,0.264
GR,1.0,127959.0,0.016,2225.0,0.234,23739.0,0.069,23756.0,0.067,7139.0,0.136,8396.0,0.13,2896.0,0.213,1660.0,0.3,1847.0,0.275,287.0,0.687,6627.0,0.145
JU,1.0,3653.0,0.178,55601.0,0.015,1738.0,0.275,NaN,NaN,1369.0,0.313,1720.0,0.285,393.0,0.587,813.0,0.414,1321.0,0.325,200.0,0.789,1830.0,0.279
LU,1.0,303390.0,0.005,5350.0,0.108,11303.0,0.075,865.0,0.264,15863.0,0.063,7501.0,0.093,10957.0,0.077,12786.0,0.073,5333.0,0.109,1782.0,0.197,19867.0,0.058
NE,1.0,6706.0,0.092,129245.0,0.008,8269.0,0.085,124.0,0.727,6504.0,0.097,10457.0,0.077,1623.0,0.196,1941.0,0.19,3810.0,0.129,1066.0,0.247,7195.0,0.094
NW,1.0,33833.0,0.019,477.0,0.501,907.0,0.378,186.0,0.792,1725.0,0.263,419.0,0.563,598.0,0.507,554.0,0.5,401.0,0.535,NaN,NaN,1620.0,0.286
OW,1.0,29115.0,0.019,311.0,0.642,616.0,0.475,NaN,NaN,1166.0,0.333,981.0,0.374,437.0,0.558,544.0,0.515,261.0,0.73,NaN,NaN,1078.0,0.364
SG,1.0,373889.0,0.007,4572.0,0.169,15490.0,0.094,1050.0,0.344,17959.0,0.086,6068.0,0.152,18262.0,0.086,19479.0,0.087,6002.0,0.152,5098.0,0.166,25490.0,0.074
SH,1.0,60725.0,0.017,1099.0,0.335,2803.0,0.213,NaN,NaN,3992.0,0.18,663.0,0.459,2572.0,0.227,2279.0,0.249,954.0,0.371,1182.0,0.336,5006.0,0.165
SO,1.0,202103.0,0.009,6164.0,0.143,10848.0,0.108,345.0,0.618,10160.0,0.114,2317.0,0.244,7055.0,0.141,8736.0,0.133,2747.0,0.221,4158.0,0.184,14695.0,0.098
SZ,1.0,119704.0,0.011,2747.0,0.211,4225.0,0.173,459.0,0.516,8791.0,0.117,1742.0,0.281,4054.0,0.182,3086.0,0.222,1713.0,0.276,935.0,0.387,7798.0,0.128
TG,1.0,209154.0,0.006,2848.0,0.149,9723.0,0.081,350.0,0.416,9558.0,0.083,4751.0,0.12,4464.0,0.123,9698.0,0.087,2766.0,0.154,2566.0,0.165,13625.0,0.069
TI,1.0,30986.0,0.041,14219.0,0.063,264683.0,0.005,326.0,0.425,12799.0,0.068,7680.0,0.089,7906.0,0.088,2901.0,0.152,6918.0,0.093,1114.0,0.237,11328.0,0.073
UR,1.0,27881.0,0.02,215.0,0.746,770.0,0.404,NaN,NaN,1131.0,0.339,768.0,0.429,661.0,0.472,NaN,NaN,199.0,0.869,327.0,0.648,1107.0,0.355
VD,1.0,34242.0,0.041,548015.0,0.005,33260.0,0.043,310.0,0.467,60534.0,0.031,49967.0,0.036,10675.0,0.079,15732.0,0.067,25819.0,0.05,3802.0,0.133,44907.0,0.038
VS,1.0,72841.0,0.025,195519.0,0.01,12752.0,0.07,168.0,0.603,11865.0,0.073,24668.0,0.05,4199.0,0.128,5208.0,0.118,4158.0,0.124,561.0,0.368,10384.0,0.08
ZG,1.0,84855.0,0.012,3509.0,0.132,4592.0,0.115,291.0,0.448,13917.0,0.065,2627.0,0.159,4192.0,0.126,2069.0,0.188,2177.0,0.172,1004.0,0.26,9209.0,0.081
ZH,1.0,1033170.0,0.005,41653.0,0.055,72803.0,0.042,3791.0,0.181,127602.0,0.031,32142.0,0.065,38425.0,0.059,44494.0,0.057,36937.0,0.06,19713.0,0.084,112150.0,0.033
