communeNumber,commune,count,countPerSurfacekm2,countPer100Inhabitants
3762,Scuol,189,0.4,4.1
1631,Glarus Süd,145,0.3,1.5
3746,Zernez,22,0.1,1.4
3543,Surses,80,0.2,3.4
6037,Val de Bagnes,158,0.5,1.6
3851,Davos,172,0.6,1.6
3792,Bregaglia,46,0.2,3
6252,Anniviers,55,0.2,2
6300,Zermatt,,,
784,Innertkirchen,30,0.1,2.8
3871,Klosters,122,0.6,2.8
5399,Verzasca,13,0.1,1.6
6083,Evolène,47,0.2,2.8
5049,Blenio,82,0.4,4.6
782,Guttannen,0,0,0
3847,Val Müstair,118,0.6,8.2
3561,Poschiavo,170,0.9,4.9
3544,Bergün Filisur,27,0.1,3
5323,Lavizzara,52,0.3,10.2
3603,Vals,13,0.1,1.3
6058,Fieschertal,24,0.1,7.5
1367,Muotathal,23,0.1,0.7
576,Grindelwald,45,0.3,1.2
3618,Lumnezia,73,0.4,3.6
6034,Orsières,88,0.5,2.8
3822,Mesocco,125,0.8,9.3
584,Lauterbrunnen,33,0.2,1.4
5002,Bellinzona,394,2.4,0.9
6076,Obergoms,,,
3921,Arosa,28,0.2,0.9
1630,Glarus Nord,181,1.2,1
3672,Safiental,120,0.8,13.3
5310,Cevio,39,0.3,3.4
3764,Valsot,25,0.2,3
6007,Naters,78,0.5,0.8
1216,Silenen,14,0.1,0.7
3293,Mels,88,0.6,1
3788,S-chanf,48,0.3,7
3714,Rheinwald,15,0.1,2.6
3983,Medel (Lucmagn),11,0.1,3.1
565,Kandersteg,16,0.1,1.2
3986,Tujetsch,31,0.2,2.6
3619,Ilanz/Glion,89,0.7,1.9
5072,Faido,154,1.2,5.3
762,Diemtigen,81,0.6,3.6
6077,Goms,41,0.3,3.5
3294,Pfäfers,34,0.3,2.2
567,Reichenbach im Kandertal,109,0.9,3
6512,Val-de-Travers,359,2.9,3.4
6487,Val-de-Ruz,535,4.3,3.1
792,Lenk,60,0.5,2.6
843,Saanen,121,1,1.8
3784,Pontresina,80,0.7,3.7
5841,Château-d'Oex,73,0.6,2.1
2163,Val-de-Charmey,66,0.6,2.6
5317,Maggia,55,0.5,2.1
6288,Saas-Almagell,,,
1301,Einsiedeln,313,3.2,1.9
1004,Flühli,49,0.5,2.5
6084,Hérémence,35,0.3,2.5
1010,Escholzmatt-Marbach,172,1.6,4
5136,Onsernone,47,0.4,7.1
1208,Göschenen,,,
1632,Glarus,75,0.7,0.6
3985,Sumvitg,73,0.7,6.5
5872,Le Chenit,43,0.4,0.9
1220,Wassen,0,0,0
5050,Serravalle,73,0.8,3.5
3981,Breil/Brigels,69,0.7,4
5402,Bex,268,2.8,3.4
5061,Airolo,31,0.3,2.1
3542,Albula/Alvra,78,0.8,6.1
3681,Avers,12,0.1,7
3360,Nesslau,106,1.1,3
1511,Wolfenschiessen,27,0.3,1.3
1404,Kerns,144,1.6,2.3
261,Zürich,299,3.4,0.1
6009,Simplon,8,0.1,2.7
3982,Disentis/Mustér,61,0.7,3
6192,Blatten,0,0,0
6032,Bourg-Saint-Pierre,,,
6292,St. Niklaus,103,1.2,4.6
5192,Lugano,176,2.3,0.3
561,Adelboden,31,0.4,0.9
3359,Wildhaus-Alt St. Johann,35,0.4,1.3
5287,Riviera,107,1.2,2.5
6011,Zwischbergen,0,0,0
6024,Nendaz,111,1.3,1.6
1403,Giswil,110,1.3,3
6023,Conthey,37,0.4,0.4
3891,Luzein,63,0.8,4
1209,Gurtnellen,6,0.1,1.1
1219,Unterschächen,,,
1212,Realp,,,
791,Boltigen,45,0.6,3.6
1407,Sarnen,111,1.5,1.1
5079,Quinto,20,0.3,2
5063,Bedretto,,,
3292,Flums,144,1.9,2.9
3713,Ferrera,0,0,0
1402,Engelberg,17,0.2,0.4
3295,Quarten,28,0.5,0.9
794,Zweisimmen,66,0.9,2.2
563,Frutigen,160,2.2,2.3
6729,Haute-Sorne,353,5,5
6265,Savièse,61,0.9,0.8
