Region,2016,2017,2018,2019,2020,2021,2022
AG,449,434,365,415,388,425,37
AI,0,0,0,0,0,0,0
AR,5,0,0,6,0,13,0
BE,586,628,602,510,521,523,51
BL,90,73,93,98,88,70,7
BS,0,0,0,0,0,0,0
FR,233,250,183,194,191,252,45
GE,146,98,115,141,154,129,14
GL,0,9,0,0,0,0,0
GR,110,100,95,77,87,77,11
JU,17,30,25,13,46,16,0
LU,125,150,204,177,181,150,17
NE,62,22,39,33,36,33,0
NW,0,0,0,0,0,0,0
OW,0,0,0,0,0,0,0
SG,298,212,220,224,192,188,13
SH,30,53,41,21,58,33,0
SO,144,122,138,129,141,118,20
SZ,51,50,26,40,11,42,0
TG,271,280,252,217,240,215,19
TI,122,154,105,120,152,139,8
UR,0,0,0,0,0,0,0
VD,549,480,383,337,278,332,32
VS,85,78,74,60,77,76,17
ZG,18,42,28,13,33,29,0
ZH,561,648,585,657,667,619,58
CH,3952,3913,3573,3482,3541,3479,349
