,Zip,Locality,Commune,CommuneFSO,District,DistrictFSO,Canton,CantonFSO,Language
0,8914,Aeugst am Albis,Aeugst am Albis,1,Bezirk Affoltern,101,ZH,1,de
1,8914,Aeugstertal,Aeugst am Albis,1,Bezirk Affoltern,101,ZH,1,de
2,8909,Zwillikon,Affoltern am Albis,2,Bezirk Affoltern,101,ZH,1,de
3,8910,Affoltern am Albis,Affoltern am Albis,2,Bezirk Affoltern,101,ZH,1,de
4,8906,Bonstetten,Bonstetten,3,Bezirk Affoltern,101,ZH,1,de
5,8915,Hausen am Albis,Hausen am Albis,4,Bezirk Affoltern,101,ZH,1,de
6,8925,Ebertswil,Hausen am Albis,4,Bezirk Affoltern,101,ZH,1,de
7,8908,Hedingen,Hedingen,5,Bezirk Affoltern,101,ZH,1,de
8,8926,Kappel am Albis,Kappel am Albis,6,Bezirk Affoltern,101,ZH,1,de
9,8926,Hauptikon,Kappel am Albis,6,Bezirk Affoltern,101,ZH,1,de
10,8926,Uerzlikon,Kappel am Albis,6,Bezirk Affoltern,101,ZH,1,de
11,8934,Knonau,Knonau,7,Bezirk Affoltern,101,ZH,1,de
12,8933,Maschwanden,Maschwanden,8,Bezirk Affoltern,101,ZH,1,de
13,8932,Mettmenstetten,Mettmenstetten,9,Bezirk Affoltern,101,ZH,1,de
14,8912,Obfelden,Obfelden,10,Bezirk Affoltern,101,ZH,1,de
15,8913,Ottenbach,Ottenbach,11,Bezirk Affoltern,101,ZH,1,de
16,8911,Rifferswil,Rifferswil,12,Bezirk Affoltern,101,ZH,1,de
17,8143,Stallikon,Stallikon,13,Bezirk Affoltern,101,ZH,1,de
18,8143,Uetliberg,Stallikon,13,Bezirk Affoltern,101,ZH,1,de
19,8907,Wettswil,Wettswil am Albis,14,Bezirk Affoltern,101,ZH,1,de
20,8452,Adlikon b. Andelfingen,Adlikon,21,Bezirk Andelfingen,102,ZH,1,de
21,8463,Benken ZH,Benken (ZH),22,Bezirk Andelfingen,102,ZH,1,de
