region,2020_total,2020_age0_19,2020_age20_64,2020_age65+,2020_sexMale,2020_sexFemale,2020_citizenSwiss,2020_citizenForeign,2020_maritalSingle,2020_maritalMarried,2020_maritalWidowed,2020_maritalDivorced,2020_maritalUnmarried,2020_martialRegistredPartnership,2020_maritalDisolvedPartnership,2020_typoUrbanCore,2020_typoUrbanCoreInfluence,2020_typoNoUrbanCoreInfluence
AG,8.01%,8.14%,8.04%,7.74%,8.11%,7.90%,8.00%,8.01%,7.63%,8.55%,7.60%,7.62%,5.35%,5.91%,5.64%,6.97%,11.07%,7.88%
AI,0.19%,0.20%,0.18%,0.20%,0.19%,0.18%,0.22%,0.08%,0.19%,0.20%,0.21%,0.13%,0.16%,0.03%,0.07%,0.00%,0.00%,1.24%
AR,0.64%,0.65%,0.62%,0.69%,0.65%,0.63%,0.71%,0.41%,0.60%,0.67%,0.69%,0.65%,0.16%,0.46%,0.40%,0.29%,1.41%,0.98%
BE,12.03%,11.48%,11.71%,13.65%,11.91%,12.15%,13.46%,7.85%,11.77%,12.10%,13.60%,12.26%,8.91%,10.10%,11.91%,10.04%,12.26%,19.96%
BL,3.36%,3.23%,3.20%,4.00%,3.32%,3.39%,3.44%,3.10%,3.04%,3.64%,3.92%,3.34%,1.78%,3.82%,2.58%,3.62%,4.56%,0.52%
BS,2.27%,1.98%,2.33%,2.38%,2.22%,2.32%,1.92%,3.28%,2.46%,1.97%,2.47%,2.54%,3.40%,4.16%,3.19%,3.60%,0.00%,0.00%
FR,3.75%,4.15%,3.79%,3.23%,3.79%,3.72%,3.87%,3.40%,3.87%,3.71%,3.36%,3.62%,4.21%,2.71%,2.15%,1.94%,7.28%,6.21%
GE,5.84%,6.17%,5.96%,5.09%,5.70%,5.98%,4.69%,9.21%,6.29%,5.27%,4.99%,6.55%,14.75%,8.44%,9.76%,8.45%,2.38%,0.00%
GL,0.47%,0.45%,0.46%,0.52%,0.48%,0.46%,0.48%,0.46%,0.44%,0.50%,0.57%,0.46%,0.32%,0.26%,0.23%,0.57%,0.00%,0.72%
GR,2.31%,2.04%,2.27%,2.71%,2.33%,2.29%,2.51%,1.72%,2.18%,2.43%,2.66%,2.23%,2.11%,1.23%,1.01%,1.20%,1.29%,8.36%
JU,0.85%,0.88%,0.80%,0.97%,0.85%,0.85%,0.97%,0.50%,0.83%,0.84%,1.10%,0.89%,1.62%,0.44%,0.44%,0.45%,0.78%,2.59%
LU,4.80%,4.88%,4.83%,4.62%,4.82%,4.78%,5.22%,3.58%,4.90%,4.90%,4.65%,3.97%,4.05%,3.64%,3.29%,4.01%,2.50%,11.40%
NE,2.03%,2.11%,1.98%,2.09%,2.00%,2.05%,2.04%,2.00%,2.05%,1.88%,2.34%,2.50%,2.11%,1.29%,1.44%,1.87%,2.78%,1.63%
NW,0.50%,0.46%,0.50%,0.57%,0.52%,0.49%,0.57%,0.30%,0.48%,0.53%,0.51%,0.48%,0.32%,0.25%,0.17%,0.29%,0.31%,1.65%
OW,0.44%,0.44%,0.43%,0.46%,0.45%,0.43%,0.50%,0.25%,0.43%,0.47%,0.45%,0.34%,0.32%,0.24%,0.10%,0.19%,0.00%,2.09%
SG,5.93%,6.09%,5.90%,5.89%,6.00%,5.87%,6.00%,5.75%,5.75%,6.19%,6.00%,5.68%,4.38%,3.56%,2.48%,6.53%,3.56%,6.88%
SH,0.96%,0.90%,0.93%,1.10%,0.96%,0.96%,0.95%,0.99%,0.88%,1.02%,1.12%,1.00%,0.16%,0.79%,0.74%,0.87%,1.44%,0.64%
SO,3.20%,3.06%,3.18%,3.41%,3.22%,3.18%,3.29%,2.94%,3.00%,3.36%,3.49%,3.34%,2.27%,2.45%,2.52%,3.06%,3.76%,2.97%
SZ,1.87%,1.80%,1.90%,1.83%,1.93%,1.81%,1.95%,1.63%,1.81%,1.98%,1.77%,1.76%,1.62%,1.45%,1.21%,1.81%,1.83%,2.20%
TG,3.26%,3.31%,3.27%,3.17%,3.31%,3.21%,3.26%,3.26%,3.08%,3.48%,3.13%,3.28%,1.94%,2.23%,1.74%,2.40%,3.11%,7.07%
TI,4.05%,3.62%,3.90%,4.97%,3.97%,4.12%,3.93%,4.38%,3.84%,4.12%,5.26%,4.17%,6.65%,2.53%,2.48%,4.57%,4.00%,1.94%
UR,0.42%,0.42%,0.41%,0.48%,0.44%,0.41%,0.50%,0.21%,0.41%,0.47%,0.49%,0.27%,0.97%,0.18%,0.17%,0.42%,0.52%,0.32%
VD,9.40%,10.32%,9.45%,8.25%,9.30%,9.49%,8.42%,12.25%,10.00%,8.79%,8.39%,9.64%,11.99%,10.76%,10.80%,9.20%,12.04%,6.39%
VS,4.02%,3.93%,3.97%,4.30%,4.02%,4.02%,4.16%,3.60%,3.86%,4.12%,4.57%,4.10%,5.19%,2.70%,2.68%,3.49%,4.46%,5.59%
ZG,1.49%,1.51%,1.51%,1.38%,1.52%,1.46%,1.42%,1.68%,1.45%,1.59%,1.24%,1.34%,2.11%,1.35%,1.04%,2.16%,0.56%,0.00%
ZH,17.92%,17.79%,18.45%,16.30%,18.00%,17.84%,17.49%,19.17%,18.76%,17.23%,15.42%,17.83%,13.13%,29.00%,31.77%,21.99%,18.10%,0.78%
CH,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
