region;total;age0_19;age20_64;age65+;sexMale;sexFemale;citizenSwiss;citizenForeign;maritalSingle;maritalMarried;maritalWidowed;maritalDivorced;maritalUnmarried;martialRegistredPartnership;maritalDisolvedPartnership;typoUrbanCore;typoUrbanCoreInfluence;typoNoUrbanCoreInfluence
AG;694?072 ;140?443 ;427?461 ;126?168 ;348?814 ;345?258 ;517?015 ;177?057 ;298?014 ;306?795 ;30?659 ;57?257 ;33 ;1?125 ;168 ;380?756 ;209?519 ;103?797 
AI;16?293 ;3?414 ;9?621 ;3?258 ;8?361 ;7?932 ;14?420 ;1?873 ;7?396 ;7?039 ;849 ;1?001 ;1 ;5 ;2 ;0 ;0 ;16?293 
AR;55?309 ;11?163 ;32?940 ;11?206 ;27?883 ;27?426 ;46?135 ;9?174 ;23?560 ;24?002 ;2?765 ;4?882 ;1 ;87 ;12 ;15?649 ;26?711 ;12?949 
BE;1?043?132 ;198?135 ;622?565 ;222?432 ;512?300 ;530?832 ;869?681 ;173?451 ;459?553 ;434?188 ;54?891 ;92?148 ;55 ;1?922 ;355 ;548?169 ;231?971 ;262?992 
BL;290?969 ;55?753 ;170?100 ;65?116 ;142?767 ;148?202 ;222?404 ;68?565 ;118?581 ;130?683 ;15?809 ;25?080 ;11 ;726 ;77 ;197?713 ;86?359 ;6?897 
BS;196?735 ;34?218 ;123?788 ;38?729 ;95?621 ;101?114 ;124?151 ;72?584 ;96?080 ;70?666 ;9?966 ;19?112 ;21 ;791 ;95 ;196?735 ;0 ;0 
FR;325?496 ;71?566 ;201?329 ;52?601 ;162?985 ;162?511 ;250?287 ;75?209 ;151?140 ;132?998 ;13?544 ;27?196 ;26 ;515 ;64 ;105?813 ;137?812 ;81?871 
GE;506?343 ;106?488 ;316?942 ;82?913 ;245?320 ;261?023 ;302?731 ;203?612 ;245?681 ;189?267 ;20?153 ;49?239 ;91 ;1?606 ;291 ;461?388 ;44?955 ;0 
GL;40?851 ;7?821 ;24?610 ;8?420 ;20?625 ;20?226 ;30?753 ;10?098 ;17?182 ;17?884 ;2?283 ;3?443 ;2 ;50 ;7 ;31?371 ;0 ;9?480 
GR;200?096 ;35?161 ;120?785 ;44?150 ;100?289 ;99?807 ;161?989 ;38?107 ;85?157 ;87?156 ;10?715 ;16?788 ;13 ;234 ;30 ;65?578 ;24?325 ;110?193 
JU;73?709 ;15?243 ;42?660 ;15?806 ;36?474 ;37?235 ;62?740 ;10?969 ;32?409 ;30?051 ;4?454 ;6?689 ;10 ;83 ;13 ;24?742 ;14?796 ;34?171 
LU;416?347 ;84?267 ;256?790 ;75?290 ;207?582 ;208?765 ;337?132 ;79?215 ;191?095 ;175?836 ;18?746 ;29?842 ;25 ;693 ;98 ;218?741 ;47?404 ;150?202 
NE;175?894 ;36?481 ;105?285 ;34?128 ;86?184 ;89?710 ;131?671 ;44?223 ;79?901 ;67?413 ;9?456 ;18?822 ;13 ;246 ;43 ;101?854 ;52?618 ;21?422 
NW;43?520 ;7?863 ;26?388 ;9?269 ;22?298 ;21?222 ;36?996 ;6?524 ;18?745 ;19?047 ;2?048 ;3?620 ;2 ;48 ;5 ;15?978 ;5?863 ;21?679 
OW;38?108 ;7?589 ;23?034 ;7?485 ;19?268 ;18?840 ;32?475 ;5?633 ;16?708 ;16?949 ;1?808 ;2?592 ;2 ;45 ;3 ;10?514 ;0 ;27?594 
SG;514?504 ;105?183 ;313?333 ;95?988 ;258?108 ;256?396 ;387?398 ;127?106 ;224?463 ;222?302 ;24?223 ;42?706 ;27 ;678 ;74 ;356?434 ;67?446 ;90?624 
SH;83?107 ;15?515 ;49?632 ;17?960 ;41?162 ;41?945 ;61?267 ;21?840 ;34?219 ;36?690 ;4?538 ;7?485 ;1 ;151 ;22 ;47?419 ;27?219 ;8?469 
SO;277?462 ;52?851 ;168?974 ;55?637 ;138?626 ;138?836 ;212?535 ;64?927 ;117?216 ;120?496 ;14?082 ;25?090 ;14 ;466 ;75 ;167?217 ;71?077 ;39?168 
SZ;162?157 ;31?099 ;101?197 ;29?861 ;83?109 ;79?048 ;126?227 ;35?930 ;70?456 ;70?988 ;7?144 ;13?244 ;10 ;276 ;36 ;98?652 ;34?560 ;28?945 
TG;282?909 ;57?168 ;174?019 ;51?722 ;142?527 ;140?382 ;210?840 ;72?069 ;120?365 ;124?794 ;12?618 ;24?644 ;12 ;424 ;52 ;130?904 ;58?881 ;93?124 
TI;350?986 ;62?537 ;207?438 ;81?011 ;170?830 ;180?156 ;254?109 ;96?877 ;149?783 ;148?017 ;21?222 ;31?365 ;41 ;482 ;74 ;249?664 ;75?773 ;25?549 
UR;36?819 ;7?315 ;21?739 ;7?765 ;18?768 ;18?051 ;32?073 ;4?746 ;15?821 ;16?962 ;1?965 ;2?025 ;6 ;35 ;5 ;22?675 ;9?870 ;4?274 
VD;814?762 ;178?201 ;502?049 ;134?512 ;400?217 ;414?545 ;544?045 ;270?717 ;390?456 ;315?488 ;33?856 ;72?495 ;74 ;2?046 ;322 ;502?562 ;227?934 ;84?266 
VS;348?503 ;67?768 ;210?723 ;70?012 ;172?955 ;175?548 ;268?980 ;79?523 ;150?781 ;147?805 ;18?447 ;30?828 ;32 ;514 ;80 ;190?528 ;84?332 ;73?643 
ZG;128?794 ;25?990 ;80?234 ;22?570 ;65?227 ;63?567 ;91?736 ;37?058 ;56?495 ;56?900 ;4?998 ;10?097 ;13 ;257 ;31 ;118?194 ;10?600 ;0 
ZH;1?553?423 ;307?069 ;980?693 ;265?661 ;774?299 ;779?124 ;1?129?722 ;423?701 ;732?076 ;618?478 ;62?232 ;134?045 ;81 ;5?517 ;947 ;1?200?621 ;342?561 ;10?241 
Switzerland;8?670?300 ;1?726?301 ;5?314?329 ;1?629?670 ;4?302?599 ;4?367?701 ;6?459?512 ;2?210?788 ;3?903?333 ;3?588?894 ;403?471 ;751?735 ;617 ;19?022 ;2?981 ;5?459?871 ;1?892?586 ;1?317?843 
